"arm","sudo","sudo_mi","T_U_plug","T_W_plug","T_U_os","T_W_os","PL_OS","B_total","B_X","B_D","B_D_first","B_X_first","direct_treat_err","mean_lambda","mean_nz","d_selected","min_p","min_q","oracle","n","p","seed"
"pen",1.38643660461428,1.37148319967313,1.21220492838695,1.21251102532217,1.50182241938556,1.49878688865884,1.50175625592932,-0.204605226915608,-0.059025773943402,-0.145579452972206,-0.155836592685886,-0.0780977965353776,-0.287628481676106,0.0405944223278348,10.8,1,0.334514222541507,0.123130585452675,1.45764863807956,1000,500,1011001
"unpen",1.587608511123,1.58374691102369,1.68869346300502,1.68872954368137,1.53365851511411,1.5179861553296,1.50400711452404,-0.00239010565285522,-0.0992073221213126,0.0968172164684574,0.102109890368681,-0.116411310672614,0.188740885174195,0.0434503746058712,6.2,1,0.328053218538285,0.106807995977072,1.45764863807956,1000,500,1011001
"pen",1.18347298080095,1.20998750971747,1.06207694539259,1.06201304263093,1.35290671107095,1.35547765817799,1.36994284424132,-0.239921569873626,-0.0121799884829034,-0.227741581390722,-0.236106487959837,-0.0308992326732265,-0.437474489515542,0.034661961755633,16.8,1,0.231571298075025,0.0436122567380057,1.31161282339835,1000,500,1011002
"unpen",1.3610637187599,1.39533388314175,1.47640762375548,1.47634230986379,1.40111613996851,1.38121484963857,1.37526044918952,-0.0612876700539751,-0.0492775805965795,-0.0120100894573957,-0.0121947602110739,-0.0636870163764304,-0.0229373529401731,0.0349126073124588,16.6,1,0.211267815007028,0.0413245917211658,1.31161282339835,1000,500,1011002
"pen",1.41454234614718,1.40294303971889,1.27139824602035,1.27132954369162,1.5072588020038,1.51387100549202,1.53370418682592,-0.178138920292502,-0.0640369032777482,-0.114102017014754,-0.123287254219499,-0.0786168106011902,-0.22859069430954,0.0311966077406971,28.2,1,0.171393167268551,0.0743093123119973,1.48168419063216,1000,500,1011003
"unpen",1.57571354497853,1.57389648707396,1.65126215530439,1.65123642896066,1.55835158979184,1.54482726681274,1.54261840590799,-0.018242106945311,-0.0947899145809927,0.0765478076356817,0.0818684471637934,-0.109755498377483,0.151271468450433,0.0322548003999368,24.8,1,0.160604235310835,0.069545878762203,1.48168419063216,1000,500,1011003
"pen",1.6121095202447,1.60017537519321,1.46187986604677,1.46206659798311,1.73874438885232,1.74017070716338,1.71759956446068,-0.0742239530094437,-0.0546258994655783,-0.0195980535438654,-0.0202473028708952,-0.071482115823919,-0.0383789282188335,0.0294791931843064,34.6,1,0.198654480386024,0.069863834132921,1.70258126586918,1000,500,1011004
"unpen",1.78306723886211,1.77600072991395,1.84235724671577,1.84243343680364,1.74738315072118,1.73950708307293,1.72578384335239,0.0882796668623376,-0.0891174174748532,0.177397084337191,0.182226350327149,-0.105371313173164,0.342212522642551,0.0333420773290661,21.6,1,0.19660954923724,0.0593555334560041,1.70258126586918,1000,500,1011004
"pen",1.29086484356944,1.30513610665338,1.17905147116931,1.17898318854934,1.44761537413328,1.45438029179412,1.45699748937575,-0.199571818098467,-0.0357628412954634,-0.163808976803004,-0.171739073571939,-0.0515229660485237,-0.320908177604622,0.033840851791781,21.4,1,0.247856903443676,0.0790923204921654,1.43858481208519,1000,500,1011005
"unpen",1.47487492520488,1.49513283839247,1.59469672365749,1.59460029251812,1.5068124870493,1.49100449108086,1.46409744645715,-0.0199019797642781,-0.0691286843534096,0.0492267045891314,0.0506697037682585,-0.0827886858324614,0.0946857695393458,0.0355157707914639,17.6,1,0.260117145149754,0.0765144533494412,1.43858481208519,1000,500,1011005
"pen",1.55227369809192,1.55952620271425,1.37425749001223,1.37526296472961,1.7651348482876,1.75047521403254,1.74291453549759,-0.104121265382735,-0.0384686009357766,-0.0656526644469584,-0.066850826655499,-0.0600087050634536,-0.125649635891011,0.0368987801665186,17.6,1,0.311921287908718,0.0586778439256378,1.71879364899246,1000,500,1011006
"unpen",1.77467252386555,1.80224166375155,1.85246353641457,1.85350516110419,1.81996645941865,1.79463827241391,1.75579949949625,0.114896338350553,-0.074425893918566,0.189322232269119,0.189360904568643,-0.0930264113019347,0.352445199937295,0.0396009342867689,10.6,1,0.314947772714972,0.0534058896656813,1.71879364899246,1000,500,1011006
"pen",1.50120826244155,1.47145950154954,1.30907653257876,1.30838320220918,1.6007398405309,1.60835533652863,1.65493375353271,-0.145985778166437,-0.047602367974372,-0.0983834101920652,-0.103511253491902,-0.0639586998784392,-0.190678084897338,0.0396155651064833,10.6,1,0.293958415930878,0.0707488371793178,1.63126579211601,1000,500,1011007
"unpen",1.72000968421656,1.7027292900991,1.80427599944236,1.80363833222055,1.61245681522336,1.60338861293552,1.65952167988809,0.0734579530714317,-0.0876716989984354,0.161129652069867,0.163887362558705,-0.101933552026568,0.304577338221474,0.0409818253427085,9.6,1,0.300796507035312,0.0617978778813279,1.63126579211601,1000,500,1011007
