"estimator","n_reps","bias","mc_se_bias","sd","mean_se","coverage","mc_se_coverage","fail_rate","cell","arm","treatment","family","truth"
"rao_blackwell",100,-0.014194016837737,0.00544082996308926,0.0544082996308926,0.0509081354180043,0.92,0.0271293199325011,0,"binary_negbin_tlog2","xgb_constrained","binary","negbin",0.693147180559945
"randomized",100,-0.0143319741847502,0.00550853275964838,0.0550853275964838,0.050893598147215,0.92,0.0271293199325011,0,"binary_negbin_tlog2","xgb_constrained","binary","negbin",0.693147180559945
"index_only",100,-0.122693369596323,0.00528706119933187,0.0528706119933187,0.0529978265729234,0.38,0.0485386443980464,0,"binary_negbin_tlog2","xgb_constrained","binary","negbin",0.693147180559945
"structured_gam",100,-0.000622556975794514,0.0053888886478369,0.053888886478369,NA,NA,NA,0,"binary_negbin_tlog2","xgb_constrained","binary","negbin",0.693147180559945
"poisson_one_step",100,-0.00165462156251108,0.0149175484633035,0.149175484633035,109834.048218035,0.88,0.0324961536185438,0,"binary_negbin_tlog2","xgb_constrained","binary","negbin",0.693147180559945
"raw_label",100,1.6720556656835,0.0675957572363535,0.675957572363535,NA,NA,NA,0,"binary_negbin_tlog2","xgb_constrained","binary","negbin",0.693147180559945
"rao_blackwell",100,0.0468495990550821,0.00372598913714732,0.0372598913714732,0.0393003769367178,0.78,0.041424630354416,0,"binary_poisson_tlog2","xgb_constrained","binary","poisson",0.693147180559945
"randomized",100,0.0469969002312165,0.00369817662587269,0.0369817662587269,0.0393635620347543,0.79,0.0407308237088326,0,"binary_poisson_tlog2","xgb_constrained","binary","poisson",0.693147180559945
"index_only",100,-0.0951678188444208,0.00405895077535227,0.0405895077535227,0.0353013402807589,0.21,0.0407308237088326,0,"binary_poisson_tlog2","xgb_constrained","binary","poisson",0.693147180559945
"structured_gam",100,0.00260854809050214,0.00296887928183928,0.0296887928183928,NA,NA,NA,0,"binary_poisson_tlog2","xgb_constrained","binary","poisson",0.693147180559945
"poisson_one_step",100,0.0240744562484369,0.0262115060015081,0.262115060015081,7763.11930103471,0.95,0.0217944947177034,0,"binary_poisson_tlog2","xgb_constrained","binary","poisson",0.693147180559945
"raw_label",100,1.89736764006549,0.291690939453729,2.91690939453729,NA,NA,NA,0,"binary_poisson_tlog2","xgb_constrained","binary","poisson",0.693147180559945
"rao_blackwell",100,-0.0117543500185468,0.00223565809310632,0.0223565809310632,0.023260432954595,0.93,0.0255147016443461,0,"continuous_negbin_tlog1p5","xgb_constrained","continuous","negbin",0.405465108108164
"randomized",100,-0.0119844445714154,0.0022247578061837,0.022247578061837,0.0232989710510098,0.94,0.0237486841740758,0,"continuous_negbin_tlog1p5","xgb_constrained","continuous","negbin",0.405465108108164
"index_only",100,-0.0577283013942907,0.00218108570104528,0.0218108570104528,0.0224651180243796,0.28,0.0448998886412873,0,"continuous_negbin_tlog1p5","xgb_constrained","continuous","negbin",0.405465108108164
"structured_gam",100,0.000839441606238982,0.00205924779858581,0.0205924779858581,NA,NA,NA,0,"continuous_negbin_tlog1p5","xgb_constrained","continuous","negbin",0.405465108108164
"poisson_one_step",100,0.00260922060745942,0.0270677003986558,0.270677003986558,9.64478809461638,1,0,0,"continuous_negbin_tlog1p5","xgb_constrained","continuous","negbin",0.405465108108164
"raw_label",100,0.82369575109442,0.0277485952012965,0.277485952012965,NA,NA,NA,0,"continuous_negbin_tlog1p5","xgb_constrained","continuous","negbin",0.405465108108164
