"estimator","n_reps","bias","mc_se_bias","sd","mean_se","coverage","mc_se_coverage","fail_rate","treatment","family","truth","cell","completion_mean_difference","completion_mc_se"
"rao_blackwell",100,-0.00111324519520328,0.00210521702319451,0.0210521702319451,0.0212834090196762,0.97,0.017058722109232,0,"continuous","poisson",0.405465108108164,"continuous_poisson_tlog1p5",-0.000129324004580123,0.00013497392392576
"randomized",100,-0.0012425691997834,0.00210662603781392,0.0210662603781392,0.0213102950007491,0.97,0.017058722109232,0,"continuous","poisson",0.405465108108164,"continuous_poisson_tlog1p5",-0.000129324004580123,0.00013497392392576
"rao_blackwell",100,0.00139933589288612,0.00223879692075446,0.0223879692075446,0.021397844285775,0.94,0.0237486841740758,0,"continuous","negbin",0.405465108108164,"continuous_negbin_tlog1p5",2.83451694753383e-05,0.000164621492760973
"randomized",100,0.00142768106236146,0.00223685260644509,0.0223685260644509,0.0214567949355059,0.94,0.0237486841740758,0,"continuous","negbin",0.405465108108164,"continuous_negbin_tlog1p5",2.83451694753383e-05,0.000164621492760973
"rao_blackwell",100,0.00144971755474415,0.00196148292951133,0.0196148292951133,0.0212866916922049,0.98,0.014,0,"continuous","poisson",0.693147180559945,"continuous_poisson_tlog2",-0.000289079177164249,0.00015889054762667
"randomized",100,0.00116063837757989,0.00197513267136744,0.0197513267136744,0.0213454274360591,0.98,0.014,0,"continuous","poisson",0.693147180559945,"continuous_poisson_tlog2",-0.000289079177164249,0.00015889054762667
"rao_blackwell",100,-0.000627615507657431,0.00203676187669462,0.0203676187669462,0.0211500647793777,0.94,0.0237486841740758,0,"continuous","negbin",0.693147180559945,"continuous_negbin_tlog2",-0.000127130825142241,0.000160121563083223
"randomized",100,-0.00075474633279967,0.00204275071191007,0.0204275071191007,0.0212260927438971,0.95,0.0217944947177034,0,"continuous","negbin",0.693147180559945,"continuous_negbin_tlog2",-0.000127130825142241,0.000160121563083223
"rao_blackwell",100,-0.000770213426762577,0.00569578005099427,0.0569578005099427,0.0505196931380513,0.91,0.0286181760425084,0,"binary","poisson",0.693147180559945,"binary_poisson_tlog2",7.49386367457803e-05,0.000266185995334199
"randomized",100,-0.0006952747900168,0.00566083645261231,0.0566083645261231,0.0505480183601499,0.92,0.0271293199325011,0,"binary","poisson",0.693147180559945,"binary_poisson_tlog2",7.49386367457803e-05,0.000266185995334199
"rao_blackwell",100,-0.00218143898144322,0.0054857599333423,0.054857599333423,0.0492428607751658,0.92,0.0271293199325011,0,"binary","negbin",0.693147180559945,"binary_negbin_tlog2",-0.000270889461080161,0.00026855481253281
"randomized",100,-0.00245232844252338,0.00545864369183951,0.054586436918395,0.0493777539297741,0.92,0.0271293199325011,0,"binary","negbin",0.693147180559945,"binary_negbin_tlog2",-0.000270889461080161,0.00026855481253281
