"learner","config","worst_abs_bias","mean_normalized_index_rmse","mean_index_correlation","mean_oracle_log_score_fraction"
"ranger","ranger_node20_mtryall",0.0927276643527262,0.426294085382362,0.908882531114616,0.286832729323631
"ranger","ranger_node20_mtrysqrt",0.0513073137893607,0.484206084029716,0.902356902510107,0.221611562309299
"ranger","ranger_node5_mtryall",0.0855403877428334,0.438393743955745,0.90374159665774,-1.19448516244234
"ranger","ranger_node5_mtrysqrt",0.049381986125204,0.470671175531419,0.901165660211486,-1.56421081871551
"xgboost","xgb_d2_c20_r200",0.0912909332682654,0.461030228822314,0.937685258245804,0.688891155310351
"xgboost","xgb_d2_c20_r500",0.0513296460972115,0.299555343547896,0.955667436599783,0.620578998633752
"xgboost","xgb_d2_c5_r200",0.092069719176094,0.461906866880624,0.93755641146045,0.676486036316273
"xgboost","xgb_d2_c5_r500",0.0523733594290646,0.30042969919339,0.955422039051361,0.618521982425546
"xgboost","xgb_d3_c20_r200",0.0909393961759751,0.398110282651693,0.9432178810646,0.537868144813067
"xgboost","xgb_d3_c20_r500",0.0814292738266223,0.336170922882058,0.941154698944444,-0.350506488901618
"xgboost","xgb_d3_c5_r200",0.0915516664649344,0.40057488858067,0.942699173987128,0.494728453190522
"xgboost","xgb_d3_c5_r500",0.0849936161658953,0.339455580406582,0.939995567838495,-0.556657944790029
