"cell","primary","estimator","n_reps","bias","mc_se_bias","sd","mean_se","sd_to_se","ratio_mc_se","coverage","mc_se_coverage","mean_bootstrap_success","bias_ok","coverage_ok","sd_to_se_ok"
"confounded",TRUE,"direct",50,-0.0816237313686111,0.00604596514344772,0.0427514295174938,0.0416753592857925,1.02582029885626,0.103623498514296,0.46,0.0704840407468244,0.992525252525253,FALSE,FALSE,TRUE
"randomized",TRUE,"direct",50,-0.0804068105289983,0.00681426310161047,0.0481841164793804,0.0395564165426358,1.21811126211206,0.12304781909702,0.42,0.0697997134664606,1,FALSE,FALSE,TRUE
"confounded",TRUE,"index_projection",50,-0.0822874554691407,0.00606609922409636,0.0428937989670899,0.0416962032833177,1.02872193603899,0.103916608132646,0.46,0.0704840407468244,0.992525252525253,FALSE,FALSE,TRUE
"randomized",TRUE,"index_projection",50,-0.0797372270342282,0.00685782465146873,0.0484921431524181,0.0395288047107567,1.22675460356691,0.123920928433425,0.44,0.070199715099137,1,FALSE,FALSE,TRUE
"confounded",TRUE,"orthogonal",50,-0.020782710098763,0.00747476728820112,0.0528545863727839,0.0512218045037461,1.03187669557636,0.104235286970059,0.9,0.0424264068711928,0.992525252525253,TRUE,TRUE,TRUE
"randomized",TRUE,"orthogonal",50,-0.0239992895645514,0.00781865232076233,0.0552862207575098,0.0510197446153314,1.08362401996219,0.10946255611027,0.86,0.0490713765855412,1,FALSE,TRUE,TRUE
"confounded",TRUE,"raw_label",50,-0.624516495469674,0.00106277191918104,0.00751493230907555,0.00730753283104761,1.02838160057889,0.103882229059544,0,0,0.992525252525253,FALSE,FALSE,TRUE
"randomized",TRUE,"raw_label",50,-0.613916976097676,0.0012041903650945,0.00851491172997824,0.00744436833100043,1.14380580747459,0.115541834689406,0,0,1,FALSE,FALSE,TRUE
"confounded",TRUE,"scaled",50,-0.0574042171579031,0.00648823109915697,0.0458787220811934,0.0450126985726037,1.01923953764276,0.102958741245805,0.76,0.060398675482166,0.992525252525253,FALSE,FALSE,TRUE
"randomized",TRUE,"scaled",50,-0.0348234476776257,0.00718538264044289,0.0508083279047727,0.0445039295332762,1.14165936441146,0.11532501119721,0.8,0.0565685424949238,1,FALSE,FALSE,TRUE
"confounded",TRUE,"sudo",50,-0.0701369059868495,0.00621514797797488,0.043947732813039,0.0422947899428491,1.03908147723215,0.104963079822312,0.72,0.0634980314655502,0.992525252525253,FALSE,FALSE,TRUE
"randomized",TRUE,"sudo",50,-0.0567560920664865,0.00694508094730887,0.0491091383373159,0.0410420580911215,1.19655642580798,0.120870451823023,0.62,0.068644009206922,1,FALSE,FALSE,TRUE
"confounded",TRUE,"targeted_projection",50,-0.00732201641059874,0.00696096701565374,0.0492214698038465,0.0485998485116537,1.01279060143662,0.102307300313977,0.92,0.0383666521865017,0.992525252525253,TRUE,TRUE,TRUE
"randomized",TRUE,"targeted_projection",50,-0.013585138286138,0.00789941361115293,0.0558572893184355,0.0472929882044482,1.18109029349052,0.119308136531537,0.88,0.0459565011723042,1,TRUE,TRUE,TRUE
"confounded",TRUE,"targeted_sudo",50,-0.0253117046024873,0.00678426550765429,0.0479720014583234,0.0472769798535704,1.01470105761632,0.102500285531095,0.88,0.0459565011723042,0.992525252525253,FALSE,TRUE,TRUE
"randomized",TRUE,"targeted_sudo",50,-0.0225867533811112,0.00761714109764509,0.0538613212339958,0.0459961489426453,1.17099632191291,0.11828849142416,0.88,0.0459565011723042,1,FALSE,TRUE,TRUE
