"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","replication","bootstrap_fit_timeout"
"direct",0.75,0.609747088906649,0.036124398379723,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,1,Inf
"raw_label",0.75,0.125451965599679,0.00686918699885828,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,1,Inf
"index_projection",0.75,0.612015112146936,0.035766405275245,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,1,Inf
"sudo",0.75,0.631146946477546,0.0366301402645142,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,1,Inf
"scaled",0.75,0.647962724819928,0.0391688888240248,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,1,Inf
"orthogonal",0.75,0.668244281820414,0.0446265427998437,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,1,Inf
"targeted_projection",0.75,0.667224832292266,0.0415981413957885,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,1,Inf
"targeted_sudo",0.75,0.658966673677697,0.0407329435793335,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,1,Inf
"direct",0.75,0.651749641920164,0.0366933659241862,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,2,Inf
"raw_label",0.75,0.138236649144743,0.00705472706421216,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,2,Inf
"index_projection",0.75,0.64795502982429,0.0364718751224139,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,2,Inf
"sudo",0.75,0.675989788503608,0.0377477732426627,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,2,Inf
"scaled",0.75,0.700466162268093,0.0409827155635494,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,2,Inf
"orthogonal",0.75,0.690822422137842,0.0461259817391902,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,2,Inf
"targeted_projection",0.75,0.719379856547418,0.0436170258504117,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,2,Inf
"targeted_sudo",0.75,0.709756580585323,0.0424139376802068,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,2,Inf
"direct",0.75,0.612901006203162,0.040107667645405,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,3,Inf
"raw_label",0.75,0.128149822856316,0.00745659270760769,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,3,Inf
"index_projection",0.75,0.614740295989946,0.0397537366999325,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,3,Inf
"sudo",0.75,0.635667564425302,0.0406689082783861,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,3,Inf
"scaled",0.75,0.654356493500859,0.0433263591034501,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,3,Inf
"orthogonal",0.75,0.670320007753455,0.0461458336185983,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,3,Inf
"targeted_projection",0.75,0.674588881206489,0.0469355058940638,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,3,Inf
"targeted_sudo",0.75,0.666874938438645,0.0453785183318657,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,3,Inf
"direct",0.75,0.626019330301929,0.0395832266224747,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,4,Inf
"raw_label",0.75,0.127618063334075,0.00728635052788675,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,4,Inf
"index_projection",0.75,0.627338027084208,0.0394304115284853,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,4,Inf
"sudo",0.75,0.650356096488614,0.0404186580251744,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,4,Inf
"scaled",0.75,0.671842390867646,0.0432755799184662,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,4,Inf
"orthogonal",0.75,0.684093808460882,0.0492840443523333,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,4,Inf
"targeted_projection",0.75,0.695241784753083,0.0468622436783555,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,4,Inf
