"cell","selection","primary","estimator","n_reps","mean_est","bias","mc_se_bias","sd","rmse","fail_rate","bias_ok"
"confounded","min",TRUE,"direct",100,0.674890596227008,-0.0751094037729918,0.00384987002422181,0.0384987002422181,0.0843134091130887,0,FALSE
"confounded","min",TRUE,"raw_label",100,0.127135874707426,-0.622864125292574,0.00067801844193434,0.0067801844193434,0.622900658025207,0,FALSE
"confounded","min",TRUE,"index_projection",100,0.67439222073129,-0.0756077792687103,0.00385681598069297,0.0385681598069297,0.0847889391803551,0,FALSE
"confounded","min",TRUE,"sudo",100,0.686940522519212,-0.0630594774807885,0.00390784606378571,0.039078460637857,0.0740834159924903,0,FALSE
"confounded","min",TRUE,"scaled",100,0.700067643888583,-0.0499323561114166,0.00404180503051342,0.0404180503051342,0.0641133588996942,0,FALSE
"confounded","min",TRUE,"orthogonal",100,0.738407335205245,-0.0115926647947547,0.0045640148847336,0.045640148847336,0.0468677163085899,0,TRUE
"confounded","min",TRUE,"targeted_projection",100,0.749260933917352,-0.000739066082648245,0.0045289914041462,0.045289914041462,0.0450689557169756,0,TRUE
"confounded","min",TRUE,"targeted_sudo",100,0.731530429670705,-0.0184695703292946,0.00436502258897731,0.0436502258897731,0.0471954852308427,0,TRUE
"confounded","min",TRUE,"oracle_sudo",100,0.754109341592561,0.00410934159256081,0.00202308122741228,0.0202308122741228,0.0205445758277566,0,TRUE
"confounded","min",TRUE,"oracle_orthogonal",100,0.764095643820215,0.0140956438202153,0.00614096974759893,0.0614096974759892,0.0627066711710801,0,TRUE
"high_dimensional","min",FALSE,"direct",100,0.604590388454792,-0.145409611545208,0.00538850722923262,0.0538850722923262,0.154979095801718,0,FALSE
"high_dimensional","min",FALSE,"raw_label",100,0.136516744008848,-0.613483255991152,0.000931042690188695,0.00931042690188695,0.61355319458879,0,FALSE
"high_dimensional","min",FALSE,"index_projection",100,0.605051483277702,-0.144948516722298,0.00541810621472112,0.0541810621472112,0.154648970641386,0,FALSE
"high_dimensional","min",FALSE,"sudo",100,0.650802966213593,-0.0991970337864069,0.00528574190213788,0.0528574190213788,0.112276530005906,0,FALSE
"high_dimensional","min",FALSE,"scaled",100,0.69005429232798,-0.0599457076720198,0.00542715620376865,0.0542715620376865,0.080681077644325,0,FALSE
"high_dimensional","min",FALSE,"orthogonal",100,0.70878571209005,-0.0412142879099501,0.00600010682890335,0.0600010682890334,0.0725447754272578,0,FALSE
