"cell","gating","estimator","n_reps","mean_est","bias","mc_se_bias","sd","fail_rate","bias_ok"
"randomized",TRUE,"direct",20,0.690328566581613,-0.0596714334183874,0.00873540867203359,0.0390659352038165,0,FALSE
"randomized",TRUE,"sudo",20,0.714771208081648,-0.0352287919183524,0.00927565246085746,0.041481978876281,0,FALSE
"randomized",TRUE,"scaled",20,0.73839587193894,-0.0116041280610598,0.00986843103884436,0.0441329652682497,0,TRUE
"randomized",TRUE,"orthogonal",20,0.754610103239292,0.00461010323929151,0.012964218535916,0.0579777478429417,0,TRUE
"randomized",TRUE,"targeted_projection",20,0.758696258241412,0.00869625824141245,0.0100468791616289,0.0449310095342567,0,TRUE
"randomized",TRUE,"targeted_sudo",20,0.750340471235224,0.000340471235223757,0.00998873075386491,0.0446709619491693,0,TRUE
"randomized",TRUE,"pit_intercept_tilt",20,0.758704710510994,0.00870471051099366,0.0100482808685735,0.0449372781582818,0,TRUE
"randomized",TRUE,"pit_affine_tilt",20,0.761723690664289,0.0117236906642887,0.0101181650244018,0.0452498096042463,0,TRUE
"randomized",TRUE,"oracle_sudo",20,0.76071754537044,0.01071754537044,0.00508505863466897,0.0227410735533842,0,TRUE
"randomized",TRUE,"oracle_orthogonal",20,0.773552794062686,0.0235527940626863,0.0154988218498384,0.0693128384547954,0,TRUE
"confounded",TRUE,"direct",20,0.675581316398973,-0.0744186836010269,0.00979323210367657,0.0437966654065082,0,FALSE
"confounded",TRUE,"sudo",20,0.687299580511392,-0.0627004194886083,0.00990712117000504,0.044305992794917,0,FALSE
"confounded",TRUE,"scaled",20,0.699857475820663,-0.0501425241793373,0.010153691418047,0.0454086884666184,0,FALSE
"confounded",TRUE,"orthogonal",20,0.74344376136322,-0.00655623863678011,0.0116791729183046,0.0522308491326074,0,TRUE
"confounded",TRUE,"targeted_projection",20,0.749723590901459,-0.00027640909854087,0.0111109765081708,0.0496897975373464,0,TRUE
"confounded",TRUE,"targeted_sudo",20,0.732637987953171,-0.0173620120468286,0.0107451478132316,0.0480537618773381,0,TRUE
"confounded",TRUE,"pit_intercept_tilt",20,0.749729232615284,-0.000270767384715959,0.0111101697619345,0.0496861896584963,0,TRUE
"confounded",TRUE,"pit_affine_tilt",20,0.754032696341395,0.00403269634139498,0.011305995886706,0.0505619507120155,0,TRUE
"confounded",TRUE,"oracle_sudo",20,0.755076165555777,0.00507616555577741,0.00526611058610986,0.0235507624951458,0,TRUE
"confounded",TRUE,"oracle_orthogonal",20,0.773650107346839,0.0236501073468394,0.01515919842771,0.0677939963375349,0,TRUE
"high_signal",TRUE,"direct",20,0.62637864049495,-0.12362135950505,0.00499886122787083,0.0223555870312145,0,FALSE
"high_signal",TRUE,"sudo",20,0.649153131323176,-0.100846868676824,0.0051881504083522,0.0232021139811376,0,FALSE
"high_signal",TRUE,"scaled",20,0.686338726087888,-0.0636612739121118,0.00572046227081571,0.0255826850005335,0,FALSE
"high_signal",TRUE,"orthogonal",20,0.717545172628092,-0.032454827371908,0.00641088265280189,0.0286703388148784,0,FALSE
"high_signal",TRUE,"targeted_projection",20,0.730286850906967,-0.0197131490930326,0.00672397223664924,0.030070517999938,0,TRUE
"high_signal",TRUE,"targeted_sudo",20,0.71929773494893,-0.0307022650510703,0.00659718189992513,0.0295034943763276,0,FALSE
"high_signal",TRUE,"pit_intercept_tilt",20,0.730305329261661,-0.0196946707383385,0.00672608196180539,0.030079952977664,0,TRUE
"high_signal",TRUE,"pit_affine_tilt",20,0.741742177000807,-0.00825782299919338,0.00711344601858616,0.0318122977036678,0,TRUE
"high_signal",TRUE,"oracle_sudo",20,0.750276563517037,0.000276563517036671,0.00212004538983296,0.00948113121410307,0,TRUE
"high_signal",TRUE,"oracle_orthogonal",20,0.763854984382346,0.0138549843823457,0.00818961121583433,0.0366250547758005,0,TRUE
"high_dimensional",FALSE,"direct",10,0.596676827571663,-0.153323172428337,0.0180723019469602,0.0571496367146897,0,FALSE
"high_dimensional",FALSE,"sudo",10,0.645430539185232,-0.104569460814768,0.0172310029672201,0.0544892157455353,0,FALSE
"high_dimensional",FALSE,"scaled",10,0.68518447411789,-0.0648155258821099,0.0173670119112892,0.054919313790948,0,FALSE
"high_dimensional",FALSE,"orthogonal",10,0.709359791241178,-0.0406402087588219,0.0202420337929955,0.0640109312599629,0,FALSE
"high_dimensional",FALSE,"targeted_projection",10,0.706599393309396,-0.0434006066906042,0.0180988551831795,0.0572336054203913,0,FALSE
"high_dimensional",FALSE,"targeted_sudo",10,0.698574347540174,-0.0514256524598264,0.0182958341260364,0.0578565075309113,0,FALSE
"high_dimensional",FALSE,"pit_intercept_tilt",10,0.70661661820555,-0.0433833817944501,0.0181016376737714,0.0572424044282297,0,FALSE
"high_dimensional",FALSE,"pit_affine_tilt",10,0.713358112208456,-0.0366418877915439,0.0180234030485184,0.0569950048205405,0,FALSE
"high_dimensional",FALSE,"oracle_sudo",10,0.747289916414527,-0.00271008358547318,0.0088766578782349,0.0280704569052999,0,TRUE
"high_dimensional",FALSE,"oracle_orthogonal",10,0.747918486217615,-0.00208151378238486,0.027445505699955,0.0867903095469915,0,TRUE
