"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1615001,"min",0.75,0.649166321930046,0.13566103099699,0.6483055106252,0.675283903523153,0.700094521830347,0.71344981288941,0.713248171259199,0.70611979938225,0.713256392034042,0.715709029033339,0.0269783928979527,0.479071095003422,0,504.770929629128,7.99360577730113e-15,0,0.366780274585061,0.980552742252924,0.713256392034042,-0.00262349057417738,1,0.0640900701039959,2.12925973149443e-14,1,0.715709029033339,0.000931618079100948,1.1181037046813,-0.0101262404709763,7.90478793533111e-17,1,0.738531160495436,0.703810878490714,2239543,13479267,"randomized",TRUE,0.001,3000,80,5,5,1
1615002,"min",0.75,0.703520782013764,0.13950209546008,0.700597330584083,0.727640368026219,0.754896295916569,0.802337913082337,0.781147295299931,0.773574725611512,0.781206623874768,0.785419010453418,0.027043037442136,0.501960354556574,0,662.114567604554,6.88338275267597e-15,0,0.301678656375903,0.98382961318663,0.781206623874768,0.00416192303610595,1,0.0776858418610038,1.49091198646071e-12,1,0.785419010453418,0.018053840250828,1.17337486617834,-0.0400745929956662,1.1664743245395e-16,1,0.77020661752552,0.831972460945085,2174540,13625818,"randomized",TRUE,0.001,3000,80,5,5,2
1615003,"min",0.75,0.651624834684827,0.134117268260093,0.65039282220147,0.674479622137419,0.6968746122327,0.66850716850955,0.723102255972625,0.710660272088186,0.723118240199026,0.726216511480436,0.024086799935949,0.481801369530623,0.000333333333333344,1001.001001001,1.04360964314765e-14,0,0.327183445595803,0.984824312684499,0.723118240199026,0.00222890486182029,1,0.0714934055141992,1.75663927848291e-14,1,0.726216511480436,0.00480087181484615,1.15100436647448,-0.0238065185450129,2.1493917756743e-16,1,0.736336141929481,0.631451812007353,2216701,13488696,"randomized",TRUE,0.001,3000,80,5,5,3
1615004,"min",0.75,0.660500586915597,0.134545747376135,0.664309720537,0.683775774013595,0.702256125180526,0.676251949575531,0.719337016335445,0.710779265789608,0.7193384257285,0.722573181020587,0.019466053476594,0.487011914318066,0.000666666666666669,1001.001001001,1.02140518265514e-14,0,0.340998765923531,0.983127152372025,0.7193384257285,-0.000502609679583373,1,0.0588378388129031,1.82103221391117e-13,1,0.722573181020587,0.00279067861665063,1.10371589137664,-0.00643181302175275,6.66133814775094e-18,1,0.749204784697384,0.698614541436443,2225434,13654756,"randomized",TRUE,0.001,3000,80,5,5,4
1615005,"min",0.75,0.689027241066757,0.137353882284634,0.690507171011654,0.711815024383622,0.733097495827247,0.752110387613847,0.75891334565427,0.750233997250928,0.758864883246662,0.762525914280691,0.0213078533719687,0.499702022367117,0,419.737384561232,7.105427357601e-15,0,0.327379963033031,0.9807458109126,0.758864883246662,0.00283535612119297,1,0.0698376421799055,7.1167812383995e-13,1,0.762525914280691,0.0109063951166584,1.13382557923108,-0.0187107964278163,6.51330841113425e-17,1,0.756271260943101,0.764016383159507,2195811,13531376,"randomized",TRUE,0.001,3000,80,5,5,5
1615006,"min",0.75,0.702321461238166,0.145771861724437,0.700896932938656,0.722637113730313,0.743178796533149,0.76441709947775,0.772769886463071,0.763065189555226,0.772811130368691,0.773829121420421,0.0217401807916573,0.485827280458645,0,587.163390611391,6.21724893790088e-15,0,0.389556019850084,0.979767956930316,0.772811130368691,-0.00403231290418552,1,0.0704896691305251,1.04568205946028e-14,1,0.773829121420421,-0.00491313521427994,1.15464713841077,-0.0371043440426979,5.00340509764404e-17,1,0.776126722036099,0.809794438103674,2296462,13622055,"randomized",TRUE,0.001,3000,80,5,5,6
1615007,"min",0.75,0.598232772354456,0.124437404673463,0.597616708048419,0.615962751107403,0.631975277047848,0.63705723609564,0.648527735884085,0.640961572580939,0.648495580967144,0.651634546344597,0.0183460430589834,0.466041701000757,0,524.113048033817,7.105427357601e-15,0,0.398010774506385,0.982075197528473,0.648495580967144,0.0031069075292951,1,0.0502628086126878,1.36187357687353e-15,1,0.651634546344597,0.0121700032033561,1.12173158323941,-0.0194220485342684,4.28770631592338e-11,1,0.71308000891751,0.642149804525131,2177873,13668199,"randomized",TRUE,0.001,3000,80,5,5,7
1615008,"min",0.75,0.688535415973586,0.137133459676844,0.686469607294775,0.70540062679299,0.723875343758799,0.748170231840792,0.750301654438334,0.740257443209862,0.750325574574176,0.752329527307901,0.0189310194982149,0.493900634293816,0.000333333333333335,1001.001001001,8.88178419700125e-15,0,0.258473903781492,0.986516710278997,0.750325574574176,-0.00220632832809219,1,0.0617901586005897,4.2648270100661e-13,1,0.752329527307901,0.00229257814176277,1.11525316549815,-0.0155617749142258,3.19004082408962e-17,1,0.751000471001173,0.780130042355502,2217573,13557181,"randomized",TRUE,0.001,3000,80,5,5,8
1615009,"min",0.75,0.685530903757856,0.138644590838954,0.685847102455194,0.713891301350992,0.740886673878155,0.773662736896372,0.75703051372989,0.749549030164781,0.757039381120849,0.760812296450723,0.0280441988957981,0.490472069989651,0.00066666666666667,1001.001001001,1.06581410364015e-14,0,0.325189548896436,0.979083144373121,0.757039381120849,0.00170038025814095,1,0.0715084773629931,4.81790607409494e-13,1,0.760812296450723,0.0104493547343057,1.13163355041656,-0.0149574740890502,6.06921920128419e-17,1,0.748112328992643,0.772652531802965,2185192,13497273,"randomized",TRUE,0.001,3000,80,5,5,9
1615010,"min",0.75,0.672729433448882,0.134359761732016,0.671441988556399,0.694061567423468,0.716125939208688,0.707031827224668,0.731517453516879,0.723087187356722,0.731540509812788,0.73468460541426,0.0226195788670682,0.493787399348724,0,238.039080705007,7.32747196252603e-15,0,0.385303751164049,0.97450726898207,0.731540509812788,0.00532580265435867,1,0.0588110763639059,3.56858912790396e-13,1,0.73468460541426,0.0120268945174764,1.09418161142014,-0.00140357012659676,1.01400369582431e-17,1,0.746636019503903,0.711226211673709,2151889,13556368,"randomized",TRUE,0.001,3000,80,5,5,10
