"cell","estimator","n_reps","mean_est","bias","mc_se_bias","sd","fail_rate","bias_ok"
"randomized","direct",100,0.662979325883271,-0.087020674116729,0.00442348277688732,0.0442348277688732,0,FALSE
"randomized","sudo",100,0.686375279736225,-0.0636247202637749,0.00454819213628257,0.0454819213628257,0,FALSE
"randomized","scaled",100,0.708263330805029,-0.0417366691949706,0.00473442847567241,0.0473442847567241,0,FALSE
"randomized","orthogonal",100,0.723230024541164,-0.0267699754588364,0.00556559606984873,0.0556559606984874,0,FALSE
"randomized","targeted_projection",100,0.727502596546632,-0.022497403453368,0.00495181154271397,0.0495181154271397,0,TRUE
"randomized","targeted_sudo",100,0.719679753634127,-0.0303202463658731,0.00485966296771714,0.0485966296771714,0,FALSE
"randomized","pit_intercept_tilt",100,0.727508747859487,-0.0224912521405125,0.00495156662064799,0.0495156662064799,0,TRUE
"randomized","pit_affine_tilt",100,0.730304871965887,-0.0196951280341129,0.00502121924454971,0.0502121924454971,0,TRUE
"randomized","oracle_sudo",100,0.746236463556465,-0.00376353644353468,0.00242834497812778,0.0242834497812778,0,TRUE
"randomized","oracle_orthogonal",100,0.739394017119764,-0.0106059828802356,0.00674842911121429,0.0674842911121429,0,TRUE
"confounded","direct",100,0.663426988616116,-0.0865730113838842,0.0037105336395828,0.037105336395828,0,FALSE
"confounded","sudo",100,0.674905774782503,-0.075094225217497,0.00372777965683021,0.0372777965683021,0,FALSE
"confounded","scaled",100,0.687030311327723,-0.0629696886722775,0.00380918242280992,0.0380918242280992,0,FALSE
"confounded","orthogonal",100,0.726675646258821,-0.0233243537411787,0.00472792774141509,0.047279277414151,0,FALSE
"confounded","targeted_projection",100,0.734500915237419,-0.0154990847625807,0.00428086227811474,0.0428086227811474,0,TRUE
"confounded","targeted_sudo",100,0.717548918585071,-0.032451081414929,0.00418405991858545,0.0418405991858545,0,FALSE
"confounded","pit_intercept_tilt",100,0.734507645350478,-0.0154923546495216,0.00428085891198219,0.0428085891198219,0,TRUE
"confounded","pit_affine_tilt",100,0.737913493616482,-0.0120865063835184,0.00437412996311519,0.0437412996311519,0,TRUE
"confounded","oracle_sudo",100,0.749433295253247,-0.000566704746753133,0.00192306108032842,0.0192306108032842,0,TRUE
"confounded","oracle_orthogonal",100,0.756947620591481,0.00694762059148085,0.0064783295890527,0.0647832958905271,0,TRUE
"high_signal","direct",100,0.625401047929476,-0.124598952070524,0.00217192000261231,0.0217192000261231,0,FALSE
"high_signal","sudo",100,0.647710617127121,-0.102289382872879,0.00224080838912407,0.0224080838912407,0,FALSE
"high_signal","scaled",100,0.68346475624571,-0.0665352437542899,0.00250120230875703,0.0250120230875703,0,FALSE
"high_signal","orthogonal",100,0.712984831021904,-0.037015168978096,0.00296186514157703,0.0296186514157703,0,FALSE
"high_signal","targeted_projection",100,0.72912181399161,-0.0208781860083901,0.00291658605026104,0.0291658605026104,0,TRUE
"high_signal","targeted_sudo",100,0.717898452529166,-0.032101547470834,0.00285704556886514,0.0285704556886513,0,FALSE
"high_signal","pit_intercept_tilt",100,0.729132869878699,-0.0208671301213012,0.00291675606718009,0.0291675606718009,0,TRUE
"high_signal","pit_affine_tilt",100,0.740792161750758,-0.00920783824924181,0.00305422910416922,0.0305422910416922,0,TRUE
"high_signal","oracle_sudo",100,0.749966948905141,-3.30510948594585e-05,0.000923212586856556,0.00923212586856556,0,TRUE
"high_signal","oracle_orthogonal",100,0.751167141157844,0.0011671411578443,0.00492338447364686,0.0492338447364686,0,TRUE
