"cell","primary","estimator","n_reps","bias","mc_se_bias","sd","mean_se","sd_to_se","ratio_mc_se","coverage","mc_se_coverage","mean_bootstrap_success","bias_ok","coverage_ok","sd_to_se_ok"
"confounded",TRUE,"direct",50,-0.0824596992356423,0.00620278561431617,0.0438603177012933,0.041943442280569,1.04570143308463,0.105631796347233,0.54,0.0704840407468244,0.946060606060606,FALSE,FALSE,TRUE
"randomized",TRUE,"direct",50,-0.0781043577654759,0.00578693851710735,0.0409198346775623,0.039860523089254,1.02657545627127,0.103699780932727,0.42,0.0697997134664606,0.936565656565657,FALSE,FALSE,TRUE
"confounded",TRUE,"index_projection",50,-0.0830729161020622,0.00619957576270757,0.0438376206229028,0.0419233186048366,1.04566198673607,0.105627811664296,0.5,0.0707106781186548,0.946060606060606,FALSE,FALSE,TRUE
"randomized",TRUE,"index_projection",50,-0.0777710503888462,0.0058189332571036,0.0411460716536988,0.0397683878298977,1.03464268729459,0.104514694327297,0.44,0.070199715099137,0.936565656565657,FALSE,FALSE,TRUE
"confounded",TRUE,"orthogonal",50,-0.0237021071134692,0.00745637615740534,0.05272454143979,0.0520322456103909,1.01330513071803,0.102359275620263,0.9,0.0424264068711928,0.946060606060606,FALSE,TRUE,TRUE
"randomized",TRUE,"orthogonal",50,-0.0233612652788348,0.0077582478565226,0.0548590966947313,0.0521443986723855,1.05206116268406,0.106274226050986,0.9,0.0424264068711928,0.936565656565657,FALSE,TRUE,TRUE
"confounded",TRUE,"pit_affine_tilt",50,-0.00619110458790147,0.00683411557772815,0.048324494684242,0.0502746951028122,0.961209105006364,0.0970967823268931,0.94,0.0335857112474933,0.946060606060606,TRUE,TRUE,TRUE
"randomized",TRUE,"pit_affine_tilt",50,-0.00971896713157242,0.0070742901633512,0.0500227854658692,0.0491673740575753,1.01739794781987,0.102772712581244,0.94,0.0335857112474933,0.936565656565657,TRUE,TRUE,TRUE
"confounded",TRUE,"pit_intercept_tilt",50,-0.00958078111589398,0.00679919635310236,0.0480775784789753,0.048575156941981,0.989756523821424,0.0999805071025362,0.92,0.0383666521865017,0.946060606060606,TRUE,TRUE,TRUE
"randomized",TRUE,"pit_intercept_tilt",50,-0.0123989417613069,0.00697147978775237,0.0492958063282466,0.047896136632675,1.02922301868115,0.103967225123247,0.94,0.0335857112474933,0.936565656565657,TRUE,TRUE,TRUE
"confounded",TRUE,"raw_label",50,-0.624448842109979,0.00108247018204115,0.00765422006153536,0.0073725392455909,1.03820675706988,0.104874719742544,0,0,0.946060606060606,FALSE,FALSE,TRUE
"randomized",TRUE,"raw_label",50,-0.613875529946415,0.0010965882270999,0.00775404971551676,0.00756244416343805,1.02533645841711,0.10357462324922,0,0,0.936565656565657,FALSE,FALSE,TRUE
"confounded",TRUE,"scaled",50,-0.0590326144630866,0.00614724038376659,0.0434675536094515,0.0448340654502715,0.969520679708698,0.097936378160373,0.8,0.0565685424949238,0.946060606060606,FALSE,FALSE,TRUE
"randomized",TRUE,"scaled",50,-0.0342023224015504,0.00647234454110953,0.0457663871519428,0.04463355828409,1.02538065328878,0.103579087605426,0.9,0.0424264068711928,0.936565656565657,FALSE,TRUE,TRUE
"confounded",TRUE,"sudo",50,-0.0713019840275054,0.00612125509666078,0.0432838098822155,0.0423141612807405,1.02291546310092,0.103330065791319,0.66,0.0669925368977769,0.946060606060606,FALSE,FALSE,TRUE
"randomized",TRUE,"sudo",50,-0.0555441295691872,0.00608177014034877,0.0430046090785848,0.0412381764395736,1.04283488727004,0.105342231492365,0.72,0.0634980314655502,0.936565656565657,FALSE,FALSE,TRUE
"confounded",TRUE,"targeted_projection",50,-0.00958836619713764,0.00679866635121496,0.048073830799689,0.0485736993398915,0.989709069990641,0.0999757135417448,0.92,0.0383666521865017,0.946060606060606,TRUE,TRUE,TRUE
"randomized",TRUE,"targeted_projection",50,-0.0124051727364493,0.00697124013708839,0.0492941117421504,0.0478957634168049,1.02919565793694,0.103964461270708,0.94,0.0335857112474933,0.936565656565657,TRUE,TRUE,TRUE
"confounded",TRUE,"targeted_sudo",50,-0.0271533141905426,0.00660849005224202,0.0467290812934418,0.0472154401813793,0.989699155910245,0.0999747120683909,0.9,0.0424264068711928,0.946060606060606,FALSE,TRUE,TRUE
"randomized",TRUE,"targeted_sudo",50,-0.0213223838573387,0.00674893206178539,0.0477221562665575,0.046512221647973,1.02601326222905,0.103642990758499,0.9,0.0424264068711928,0.936565656565657,TRUE,TRUE,TRUE
