"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"direct",0.75,0.615578599502728,0.0427817421359746,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"raw_label",0.75,0.124380908726759,0.0076267400808373,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"index_projection",0.75,0.615474679526226,0.042428877033145,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"sudo",0.75,0.630194459890108,0.0431762911384351,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"scaled",0.75,0.643670151888196,0.045885082111633,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"orthogonal",0.75,0.634551230430712,0.0553933278333937,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"targeted_projection",0.75,0.664240281914335,0.0483076968293034,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"targeted_sudo",0.75,0.654465394536102,0.0471922523581234,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"pit_intercept_tilt",0.75,0.664240612738646,0.0483087500738822,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"pit_affine_tilt",0.75,0.665698140116631,0.0489082407216605,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,1
"direct",0.75,0.619351038975374,0.0383440465845533,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"raw_label",0.75,0.124626110439219,0.00750709140831781,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"index_projection",0.75,0.617962103997249,0.0386315638324775,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"sudo",0.75,0.640995354802196,0.0410218819122656,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"scaled",0.75,0.662261053290483,0.0453396542266518,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"orthogonal",0.75,0.677610575801832,0.0546171588717404,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"targeted_projection",0.75,0.679782125758204,0.045595741785202,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"targeted_sudo",0.75,0.673999861556295,0.0447417504404371,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"pit_intercept_tilt",0.75,0.679776633722056,0.0455934507612229,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"pit_affine_tilt",0.75,0.682932603620373,0.0464138013114124,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,2
"direct",0.75,0.69332716253949,0.0416933864544445,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"raw_label",0.75,0.143007332414168,0.00782645582517498,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"index_projection",0.75,0.697279765345061,0.0414370493605556,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"sudo",0.75,0.717325445953138,0.0424793209616553,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"scaled",0.75,0.736544933178401,0.0457264447149953,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"orthogonal",0.75,0.734938426953717,0.0469900774736846,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"targeted_projection",0.75,0.760471948537206,0.0500094773990006,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"targeted_sudo",0.75,0.748509647605173,0.0478418955100081,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"pit_intercept_tilt",0.75,0.760469367377121,0.050010816229388,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
"pit_affine_tilt",0.75,0.762758803198037,0.0514926164889154,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,3
