"cell","gating","estimator","n_reps","mean_est","bias","mc_se_bias","sd","fail_rate","bias_ok"
"randomized",TRUE,"sudo",20,0.700780226081805,-0.0492197739181953,0.0095655372999953,0.0427783832881986,0,FALSE
"randomized",TRUE,"orthogonal",20,0.730432482996807,-0.0195675170031931,0.0139775388328285,0.0625094539766953,0,TRUE
"randomized",TRUE,"targeted_projection",20,0.743790087790795,-0.00620991220920475,0.0111983344966482,0.0500804743385725,0,TRUE
"randomized",TRUE,"pit_affine_tilt",20,0.747031088712691,-0.00296891128730895,0.0114506273264649,0.0512087621739843,0,TRUE
"randomized",TRUE,"affine_calibrated_sudo",20,0.746169867798508,-0.00383013220149243,0.0114771944147291,0.0513275738046302,0,TRUE
"randomized",TRUE,"oracle_sudo",20,0.752360011099502,0.00236001109950245,0.00452049081127416,0.0202162494913444,0,TRUE
"randomized",TRUE,"oracle_orthogonal",20,0.722503442719536,-0.0274965572804635,0.0327606674461522,0.146510158795722,0,TRUE
"confounded",TRUE,"sudo",20,0.678321128401933,-0.0716788715980669,0.00917899253091571,0.0410497025281807,0,FALSE
"confounded",TRUE,"orthogonal",20,0.725655511659252,-0.0243444883407483,0.0104372137374209,0.0466766388251354,0,FALSE
"confounded",TRUE,"targeted_projection",20,0.738931069116313,-0.0110689308836868,0.0107856726459809,0.0482349944389469,0,TRUE
"confounded",TRUE,"pit_affine_tilt",20,0.741446445933788,-0.00855355406621238,0.0111689055613016,0.0499488641386916,0,TRUE
"confounded",TRUE,"affine_calibrated_sudo",20,0.740436111267185,-0.00956388873281478,0.0112041535807878,0.0501064980739786,0,TRUE
"confounded",TRUE,"oracle_sudo",20,0.749080541859528,-0.000919458140472377,0.00465226857307961,0.0208055775579839,0,TRUE
"confounded",TRUE,"oracle_orthogonal",20,0.753689941791627,0.00368994179162673,0.0125391607953214,0.056076831838278,0,TRUE
"high_signal",TRUE,"sudo",20,0.651372684231543,-0.0986273157684572,0.00493077656449684,0.0220511031601556,0,FALSE
"high_signal",TRUE,"orthogonal",20,0.714140455786073,-0.0358595442139271,0.00840674355012486,0.0375961000949742,0,FALSE
"high_signal",TRUE,"targeted_projection",20,0.733348487758932,-0.0166515122410683,0.00619066217917827,0.0276854829167592,0,TRUE
"high_signal",TRUE,"pit_affine_tilt",20,0.74485818912196,-0.00514181087803977,0.00645373223400169,0.0288619679676187,0,TRUE
"high_signal",TRUE,"affine_calibrated_sudo",20,0.744259785619735,-0.00574021438026506,0.00667910703409556,0.0298698747144693,0,TRUE
"high_signal",TRUE,"oracle_sudo",20,0.750863174390626,0.000863174390626309,0.00208940043305154,0.00934408280104147,0,TRUE
"high_signal",TRUE,"oracle_orthogonal",20,0.747540130626832,-0.00245986937316777,0.0129713131743529,0.0580094760305835,0,TRUE
"high_dimensional",FALSE,"sudo",10,0.632568790190671,-0.117431209809329,0.0133758729981945,0.04229822436744,0,FALSE
"high_dimensional",FALSE,"orthogonal",10,0.691194816769841,-0.0588051832301587,0.0155121233770552,0.0490536412170374,0,FALSE
"high_dimensional",FALSE,"targeted_projection",10,0.697093423313039,-0.0529065766869607,0.0157527301672175,0.0498145066944525,0,FALSE
"high_dimensional",FALSE,"pit_affine_tilt",10,0.702525787452399,-0.047474212547601,0.0163425756922185,0.0516797620211133,0,FALSE
"high_dimensional",FALSE,"affine_calibrated_sudo",10,0.701831920513525,-0.0481680794864745,0.0166344273766096,0.0526026780827458,0,FALSE
"high_dimensional",FALSE,"oracle_sudo",10,0.737752359945066,-0.0122476400549338,0.00744682933102112,0.0235489420325747,0,TRUE
"high_dimensional",FALSE,"oracle_orthogonal",10,0.723308219658699,-0.0266917803413008,0.0159324575823997,0.0503828546844027,0,TRUE
