"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","affine_calibrated_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","affine_calibrated_sudo_mean_intercept","affine_calibrated_sudo_mean_slope","affine_calibrated_sudo_mean_tilt","affine_calibrated_sudo_max_score_error","affine_calibrated_sudo_convergence_rate","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","error","cell","gating","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1618001,"min",0.75,0.628597767811858,0.132513487621563,0.628713650974843,0.653707272910181,0.676185875204497,0.693790624562677,0.688785223118803,0.683227474515717,0.688809577548935,0.689460843435894,0.687607616394204,0.0249936219353383,0.473510619295447,0.000333333333333331,1001.001001001,6.66133814775094e-15,0,0.452459983050468,0.973382778562384,0.688809577548935,-0.00296892272285906,1,0.0602118097370767,2.48726964950189e-15,1,0.689460843435894,-0.00211303659646443,1.09841143806725,-0.000998134672194081,5.36421191910108e-11,1,-0.00172321969996204,1.10172000070949,-0.00275816190246465,2.62240390513924e-11,1,0.731847552495117,0.722383811655971,2289956,13533911,"","randomized",TRUE,0.001,3000,80,5,5,1
1618002,"min",0.75,0.653110432312635,0.136775692779702,0.65126672345145,0.675175744004614,0.696583905362722,0.682659963992189,0.721031505231421,0.709293451924905,0.721059762992072,0.724855844012844,0.716963117413135,0.0239090205531639,0.472407163358565,0,289.838904592952,8.43769498715119e-15,0,0.377567021207261,0.979448268979201,0.721059762992072,-0.00366448222934744,1,0.0679493306794365,6.16647473824135e-15,1,0.724855844012844,-0.00432457815397513,1.11809312904866,-0.0053824428659139,4.17443857259059e-17,1,-0.00446360845720021,1.11923879438607,-0.00573066388995851,1.11207339633287e-16,1,0.738444125303275,0.663802380762941,2243146,13526297,"","randomized",TRUE,0.001,3000,80,5,5,2
1618003,"min",0.75,0.710274192495835,0.140278490178257,0.708181835539127,0.731114717982291,0.754283705389811,0.758921422749833,0.783662445003844,0.77070656442716,0.783648775689327,0.78665914827229,0.783668368083049,0.022932882443164,0.50256068750705,0,716.586321731526,8.21565038222616e-15,0,0.330561774287094,0.976251836756017,0.783648775689327,0.00233994508305648,1,0.0733745831934915,9.89275920441438e-13,1,0.78665914827229,0.0102315758071107,1.14485974605321,-0.0265051833766389,6.62433071359677e-17,1,0.0102476118812956,1.14551248478568,-0.0268551160479723,5.59552404411079e-16,1,0.757856139085942,0.775249964203659,2222577,13520072,"","randomized",TRUE,0.001,3000,80,5,5,3
1618004,"min",0.75,0.72327216948867,0.14265645435365,0.722992331212821,0.750848279524331,0.779388247618935,0.807256986084314,0.806833928271523,0.796662485919508,0.806846168903373,0.812906511096444,0.811045129764311,0.0278559483115097,0.50606444426019,0,218.482714442487,7.99360577730113e-15,0,0.301151265517714,0.981809007865177,0.806846168903373,0.00101424253219576,1,0.0835739994147031,3.62469757912246e-12,1,0.812906511096444,0.00292337836001356,1.13785201483147,-0.0100701842277661,1.53950926081355e-17,1,0.00318535646828213,1.14002439540514,-0.0118912901447523,1.99099995749445e-16,1,0.774500122395091,0.840021429585974,2234745,13322759,"","randomized",TRUE,0.001,3000,80,5,5,4
1618005,"min",0.75,0.70411331312476,0.141414740262567,0.702032948479728,0.72396186556341,0.745571148291567,0.754179326118408,0.774622540835046,0.763737233560763,0.774613712109887,0.778507069361426,0.772941569133265,0.0219289170836815,0.496329265370351,0,329.979424832647,7.54951656745106e-15,0,0.384134955781153,0.979026949511154,0.774613712109887,0.00333057754662438,1,0.0705003989851267,1.02085747262966e-13,1,0.778507069361426,0.0163738756019176,1.14802349422434,-0.0298315567019364,9.2370555648813e-17,1,0.0160373702088308,1.15003083539528,-0.0303206306204008,5.30854604718911e-11,1,0.771680853412553,0.785505738412408,2173458,13521234,"","randomized",TRUE,0.001,3000,80,5,5,5
1618006,"min",0.75,0.680635125269451,0.137164883972108,0.679681579492509,0.705434484898549,0.73032274142785,0.757652193928117,0.744672783354869,0.737803522926711,0.744678484334829,0.748165727577439,0.750611887273999,0.0257529054060406,0.49146298343387,0.000333333333333331,1001.001001001,9.10382880192628e-15,0,0.32215293885684,0.981329154263333,0.744678484334829,0.00144472278389597,1,0.0640433590653783,2.279823737202e-13,1,0.748165727577439,0.00268620524183871,1.10983905268192,-0.00722971507364591,2.33886983854366e-17,1,0.00200223260823627,1.11114255577119,-0.0068008090596625,7.46624984060418e-17,1,0.754021880659396,0.782296180241875,2204100,13501020,"","randomized",TRUE,0.001,3000,80,5,5,6
1618007,"min",0.75,0.641820393469068,0.128746734173932,0.642544213748645,0.664259235971562,0.685073618396869,0.702626303446569,0.701860964340743,0.693509093547148,0.701873278670054,0.703942951155938,0.704097879370337,0.0217150222229172,0.489411563539865,0,218.470740955791,8.65973959207622e-15,0,0.341806581624429,0.981414441577552,0.701873278670054,0.00132555920417867,1,0.0600528852009859,1.30104815809773e-13,1,0.703942951155938,0.00345354228455989,1.0937487298806,0.00195271098767604,1.21680443498917e-16,1,0.00355381955878625,1.09522065741831,0.00133248777284303,7.66053886991358e-17,1,0.731158501783859,0.733839292713077,2199117,13458842,"","randomized",TRUE,0.001,3000,80,5,5,7
1618008,"min",0.75,0.626684916398989,0.126988790204894,0.621722677064455,0.646371050498007,0.668939621634134,0.66286234853634,0.683779015786237,0.676366251798693,0.683769307594433,0.685735949707963,0.680001839600021,0.0246483734335513,0.477976102473608,0,284.270149612355,8.88178419700125e-15,0,0.349516607303743,0.979596267324056,0.683769307594433,-0.0028430653233665,1,0.0570843911954437,2.13356739682998e-14,1,0.685735949707963,-0.000910626029600305,1.09519795040137,-0.000608086279663031,8.9557990653096e-17,1,-0.000741394898040836,1.09600168105751,-0.00124350426032358,4.64147629127461e-11,1,0.721936898618564,0.677872687164514,2236181,13653494,"","randomized",TRUE,0.001,3000,80,5,5,8
1618009,"min",0.75,0.674405024189082,0.137893692307726,0.674392559260731,0.696711298813105,0.717695519713658,0.71730879094237,0.745529614645075,0.734588417345653,0.745526143595683,0.749263998370726,0.74290253910705,0.0223187395523742,0.484590907436082,0.000333333333333329,1001.001001001,5.77315972805081e-15,0,0.330762196634917,0.981650483375872,0.745526143595683,-0.000228218204366652,1,0.0711211194066004,2.04824453694149e-13,1,0.749263998370726,0.0046971062458403,1.12659378990753,-0.0105165137631316,9.91799235331807e-18,1,0.00435639295940157,1.12813232211708,-0.0113372382279177,1.98082291310205e-16,1,0.74877468226566,0.729940035305175,2210889,13419568,"","randomized",TRUE,0.001,3000,80,5,5,9
1618010,"min",0.75,0.676161405324868,0.136368259447231,0.677161926291006,0.699773718952504,0.721334613604856,0.7700417278343,0.733902301200235,0.731112670729587,0.733902310707543,0.736434836918063,0.739387157459295,0.0226117926614978,0.488104662937081,0,275.116479040237,9.32587340685131e-15,0,0.370883594528228,0.97532712764481,0.733902310707543,-0.000271710947377789,1,0.057740905382675,3.66113065789856e-14,1,0.736434836918063,0.00234715615311836,1.0914694191586,-0.00157465940933184,5.30345977504491e-11,1,0.00257799479206126,1.09199997318301,-0.00133617801386278,4.28095144518655e-11,1,0.757954174824457,0.810505868870152,2226449,13499099,"","randomized",TRUE,0.001,3000,80,5,5,10
1618011,"min",0.75,0.669282730767035,0.134375056920896,0.667761886880024,0.691687065919747,0.715270118845695,0.633601967289919,0.733393169283195,0.724678476141977,0.733396818825593,0.734897967468408,0.733098440772218,0.0239251790397232,0.49639929650484,0.000333333333333345,1001.001001001,6.66133814775094e-15,0,0.376300076580666,0.979753696730606,0.733396818825593,0.000672070097533561,1,0.0641140880585578,4.0423087099839e-13,1,0.734897967468408,0.00357676866888582,1.09686392068701,0.000785887351166651,4.11522667794391e-17,1,0.00401658156458466,1.09867832704798,-0.000363925130115049,1.01955481094744e-16,1,0.749421292213192,0.186107726405671,2214292,13617906,"","randomized",TRUE,0.001,3000,80,5,5,11
1618012,"min",0.75,0.663299724470078,0.130279392747301,0.66977631840602,0.690984929598907,0.712190426240812,0.760802573885428,0.716285134326906,0.712107798530142,0.716285050825013,0.719605394501294,0.735231663792316,0.021208611192887,0.49996328402104,0.000666666666666665,1001.001001001,8.65973959207622e-15,0,0.332863919562123,0.980892105267017,0.716285050825013,1.09173150566081e-05,1,0.0529853263549351,5.07940208412568e-13,1,0.719605394501294,0.00903440338241017,1.12171487454668,-0.0244277727195072,1.05397172471082e-16,1,0.0093491993666483,1.12262131457332,-0.0246436618683309,2.75612865863195e-16,1,0.744363459443726,0.786887914373272,2167545,13368711,"","randomized",TRUE,0.001,3000,80,5,5,12
1618013,"min",0.75,0.618299464695208,0.126975640139881,0.616510848306262,0.642544498740856,0.666293060462044,0.679697101113576,0.679492624038972,0.67307478728481,0.679490238052598,0.682294946582374,0.681054267537803,0.0260336504345937,0.477049144519182,0,732.893955514936,1.31006316905768e-14,0,0.413452780494815,0.974152471466671,0.679490238052598,0.000732745082318033,1,0.0611907733573892,1.67489725792317e-14,1,0.682294946582374,0.00580879393403235,1.11324023067882,-0.00602089212351347,3.83397017837221e-17,1,0.00557379959593782,1.11419807519919,-0.00629356246011851,8.40068755299702e-17,1,0.726039212427107,0.71156568544263,2186090,13439275,"","randomized",TRUE,0.001,3000,80,5,5,13
1618014,"min",0.75,0.633883305802266,0.131439786884935,0.6332662959097,0.657224638038751,0.678222105183638,0.698992078218324,0.69155870985618,0.684108894304666,0.691559391776388,0.695238652962979,0.696911121143578,0.0239583421290509,0.467069050340955,0.000333333333333333,1001.001001001,7.54951656745106e-15,0,0.380775046201148,0.978656009550621,0.691559391776388,0.000233462839295069,1,0.0576760859741224,3.66018326758422e-15,1,0.695238652962979,0.0043496201275636,1.1116473741305,-0.00941605943727009,7.5347135937894e-17,1,0.00385893145345691,1.11353885706917,-0.00978862821743921,4.008136433864e-11,1,0.734099372959204,0.734154436213328,2237936,13471971,"","randomized",TRUE,0.001,3000,80,5,5,14
