"cell","primary","estimator","n_reps","bias","mc_se_bias","sd","mean_se","sd_to_se","ratio_mc_se","coverage","mc_se_coverage","mean_bootstrap_success","bias_ok","coverage_ok","sd_to_se_ok"
"confounded",TRUE,"affine_calibrated_sudo",50,-0.0144387808381223,0.00686942859732389,0.0485741954404451,0.0497634343949249,0.976102152736448,0.0986012073329613,0.94,0.0335857112474933,1,TRUE,TRUE,TRUE
"high_signal",TRUE,"affine_calibrated_sudo",50,-0.00891492733865105,0.00453253472996631,0.0320498604352272,0.0314279004679328,1.01979005781595,0.103014352181183,0.96,0.027712812921102,1,TRUE,TRUE,TRUE
"randomized",TRUE,"affine_calibrated_sudo",50,-0.0117574312960414,0.00622367862867308,0.0440080536226053,0.048005803612822,0.916723610702167,0.0926030688001884,0.98,0.0197989898732233,1,TRUE,TRUE,TRUE
"confounded",TRUE,"direct",50,-0.0872728966884233,0.0058320386800241,0.0412387409878729,0.0419861419673555,0.982198865043047,0.0992170682779528,0.46,0.0704840407468244,1,FALSE,FALSE,TRUE
"high_signal",TRUE,"direct",50,-0.124644011512306,0.00312853446763316,0.0221220793723925,0.0220251006893856,1.00440309828203,0.101460034548572,0,0,1,FALSE,FALSE,TRUE
"randomized",TRUE,"direct",50,-0.0805054207592618,0.00538113300409261,0.0380503563766062,0.0390369276448792,0.974727230655857,0.0984623192291343,0.54,0.0704840407468244,1,FALSE,FALSE,TRUE
"confounded",TRUE,"index_projection",50,-0.0876884759897446,0.00581345933569422,0.0411073651842163,0.0420206387236198,0.978266071931691,0.0988197961810894,0.46,0.0704840407468244,1,FALSE,FALSE,TRUE
"high_signal",TRUE,"index_projection",50,-0.124063379318508,0.00316364155207186,0.0223703239471355,0.0222012110924229,1.00761728060729,0.101784715994023,0,0,1,FALSE,FALSE,TRUE
"randomized",TRUE,"index_projection",50,-0.080061385566062,0.00535635257612836,0.037875132290064,0.0388810477289586,0.974128386510906,0.0984018268354531,0.54,0.0704840407468244,1,FALSE,FALSE,TRUE
"confounded",TRUE,"orthogonal",50,-0.026158039013977,0.00728352121183729,0.0515022723980621,0.0506630181091876,1.01656542227835,0.102688614801827,0.92,0.0383666521865017,1,FALSE,TRUE,TRUE
"high_signal",TRUE,"orthogonal",50,-0.0377162773011453,0.00425253489508156,0.030069962615446,0.0303781126964449,0.989856180860273,0.0999905739836738,0.76,0.060398675482166,1,FALSE,FALSE,TRUE
"randomized",TRUE,"orthogonal",50,-0.0215897664517934,0.00648036568509649,0.0458231052050034,0.0521800822099147,0.878172345928127,0.0887088029794682,0.98,0.0197989898732233,1,TRUE,TRUE,TRUE
