"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"direct",0.75,0.703783069926764,0.0331627642387175,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"raw_label",0.75,0.144514075876068,0.00610749200358477,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"index_projection",0.75,0.707462545966698,0.0334449917834579,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"sudo",0.75,0.729677293234188,0.0345679584726558,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"scaled",0.75,0.751225731554014,0.0388423736678141,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"orthogonal",0.75,0.764907524388845,0.0460774174198736,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"targeted_projection",0.75,0.775760807449005,0.0405203729025903,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"targeted_sudo",0.75,0.764770512541475,0.0393513275425677,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"pit_intercept_tilt",0.75,0.77579216768005,0.0405206580429605,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"pit_affine_tilt",0.75,0.777262967722678,0.0421062748618519,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"affine_calibrated_sudo",0.75,0.780942007853668,0.0424854984318626,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,1
"direct",0.75,0.670185336114614,0.0412311242741374,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"raw_label",0.75,0.134763008629109,0.0073704199601734,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"index_projection",0.75,0.666647260940095,0.0418909117136021,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"sudo",0.75,0.68703542515681,0.0418255030681438,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"scaled",0.75,0.706771848205954,0.0437105894209704,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"orthogonal",0.75,0.712007835166864,0.05111516343351,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"targeted_projection",0.75,0.736394984828945,0.0466401595745737,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"targeted_sudo",0.75,0.727710929608361,0.0455105979313986,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"pit_intercept_tilt",0.75,0.736385098890759,0.0466415938796027,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"pit_affine_tilt",0.75,0.738009757546649,0.0479446955383593,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"affine_calibrated_sudo",0.75,0.728606084322959,0.0480960060991719,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,2
"direct",0.75,0.634657107464606,0.0379074244700017,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"raw_label",0.75,0.127308951731759,0.00679872025354793,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"index_projection",0.75,0.630327758643472,0.0380201270079456,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"sudo",0.75,0.655744791397512,0.0390046102986482,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"scaled",0.75,0.679722819993119,0.0419427360050838,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"orthogonal",0.75,0.682847711352853,0.0454337497054921,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"targeted_projection",0.75,0.704090268634516,0.0421794303592224,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"targeted_sudo",0.75,0.693850855533867,0.0410281384736807,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"pit_intercept_tilt",0.75,0.704056870316782,0.042190055633357,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"pit_affine_tilt",0.75,0.708324487410743,0.0430296838705238,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"affine_calibrated_sudo",0.75,0.700070140517894,0.0438450148883831,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,3
"direct",0.75,0.666604186114523,0.0369925137567822,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"raw_label",0.75,0.136038639947651,0.00743689499947281,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"index_projection",0.75,0.665934644965949,0.0375588695167314,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"sudo",0.75,0.691235325688065,0.0391625226867237,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"scaled",0.75,0.715395465656019,0.0428095332390217,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"orthogonal",0.75,0.745229739733576,0.0458923957908251,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"targeted_projection",0.75,0.727028160131801,0.0451973261162352,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"targeted_sudo",0.75,0.722324094842572,0.0438887398645189,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"pit_intercept_tilt",0.75,0.727026238103637,0.0451900946693776,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"pit_affine_tilt",0.75,0.729602907048363,0.0469742456084591,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"affine_calibrated_sudo",0.75,0.731471541331951,0.0464815486565671,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"direct",0.75,0.663605002736281,0.0440344740806556,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"raw_label",0.75,0.132659942016942,0.00756017898235091,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"index_projection",0.75,0.667989316017535,0.0443585128910029,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
