"method","mstop","theta_hat","direct","min_threshold_gap","max_contrast_spread","max_probability_error","backfit_iterations","backfit_converged","max_condition_number","error","replication","seed","sample_signature","fold_signature"
"pure",500,0.901035650779592,0.806443977214945,0.93957945219526,2.9457685359895e-16,2.22044604925031e-16,0,1,NA,"",1,192001,14406118,13527699
"pure",1000,0.918815865471511,0.8442170362197,0.96393738555235,4.19792956917582e-16,2.22044604925031e-16,0,1,NA,"",1,192001,14406118,13527699
"pure",2000,0.936354809184481,0.875507260729614,0.988958688247596,4.92386716157092e-16,2.22044604925031e-16,0,1,NA,"",1,192001,14406118,13527699
"pure",5000,0.958443833764018,0.91070365561527,1.02148758495872,5.92566696871603e-16,2.22044604925031e-16,0,1,NA,"",1,192001,14406118,13527699
"pure",10000,0.973700953814272,0.929697795113532,1.04189498772424,6.17713108733665e-16,2.22044604925031e-16,0,1,NA,"",1,192001,14406118,13527699
"pure",500,0.959463956049812,0.870178434637081,0.927803136854348,3.00524310239356e-16,2.22044604925031e-16,0,1,NA,"",2,192002,14033750,13387392
"pure",1000,0.976360559791052,0.904095429090313,0.9436432418425,4.41370199620081e-16,2.22044604925031e-16,0,1,NA,"",2,192002,14033750,13387392
"pure",2000,0.993342270856823,0.933838392539752,0.959675707103583,5.12355138733043e-16,2.22044604925031e-16,0,1,NA,"",2,192002,14033750,13387392
"pure",5000,1.01810037836681,0.972204279482583,0.983302490171614,6.10778502862063e-16,2.22044604925031e-16,0,1,NA,"",2,192002,14033750,13387392
"pure",10000,1.03601295899463,0.998576825252884,1.00050272033276,6.13920500681338e-16,2.22044604925031e-16,0,1,NA,"",2,192002,14033750,13387392
"pure",500,1.00304715792974,0.87943032405021,0.938233748874415,3.35804953249591e-16,2.22044604925031e-16,0,1,NA,"",3,192003,14151174,13540948
"pure",1000,1.0229301546594,0.927851149812755,0.959308476690472,4.4580036440731e-16,2.22044604925031e-16,0,1,NA,"",3,192003,14151174,13540948
"pure",2000,1.0431798797279,0.972565527910048,0.982213292230884,5.70774693113589e-16,2.22044604925031e-16,0,1,NA,"",3,192003,14151174,13540948
"pure",5000,1.06853298937394,1.02331560474451,1.0127339948764,6.30358996540426e-16,2.22044604925031e-16,0,1,NA,"",3,192003,14151174,13540948
"pure",10000,1.08541080338591,1.055408743502,1.03076980068855,6.35074762236127e-16,2.22044604925031e-16,0,1,NA,"",3,192003,14151174,13540948
"pure",500,0.93967884705299,0.835628128077607,0.974615456811775,2.97392508509001e-16,2.22044604925031e-16,0,1,NA,"",4,192004,14271161,13509676
"pure",1000,0.960152778834841,0.878059937315555,0.995505615412845,4.49340524990225e-16,2.22044604925031e-16,0,1,NA,"",4,192004,14271161,13509676
"pure",2000,0.978603908527183,0.910964832282925,1.0179623806756,5.82197029739783e-16,2.22044604925031e-16,0,1,NA,"",4,192004,14271161,13509676
