"sure_version","outcome","link","comparison","max_abs_difference","expected"
"0.3.0.9000","binary","logit","same law and uniforms",0,"zero"
"0.3.0.9000","binary","logit","operational SUDO convention",0,"zero"
"0.3.0.9000","binary","logit","sure residual equals S minus fitted mean",0,"zero"
"0.3.0.9000","binary","probit","same law and uniforms",0,"zero"
"0.3.0.9000","binary","probit","operational SUDO convention",0,"zero"
"0.3.0.9000","binary","probit","sure residual equals S minus fitted mean",0,"zero"
"0.3.0.9000","binary","cloglog","same law and uniforms",0,"zero"
"0.3.0.9000","binary","cloglog","operational SUDO convention",5.87224903972605,"nonzero"
"0.3.0.9000","binary","cloglog","sure residual equals S minus fitted mean",0,"zero"
"0.3.0.9000","ordinal","logit","sure threshold-origin coordinates",0,"zero"
"0.3.0.9000","ordinal","logit","original clm coordinates after constant shift",8.88178419700125e-16,"zero"
"0.3.0.9000","ordinal","logit","sure residual equals S minus fitted mean",0,"zero"
"0.3.0.9000","ordinal","probit","sure threshold-origin coordinates",0,"zero"
"0.3.0.9000","ordinal","probit","original clm coordinates after constant shift",2.22044604925031e-16,"zero"
"0.3.0.9000","ordinal","probit","sure residual equals S minus fitted mean",0,"zero"
"0.3.0.9000","ordinal","cloglog","sure threshold-origin coordinates",0,"zero"
"0.3.0.9000","ordinal","cloglog","original clm coordinates after constant shift",8.88178419700125e-16,"zero"
"0.3.0.9000","ordinal","cloglog","sure residual equals S minus fitted mean",0,"zero"
