"stage","theta","arm","label","n_reps","bias","mc_se_bias","sd","mean_se","sd_over_mean_se","coverage","mc_se_cov","known_se_coverage","mean_W","mean_B_between","mean_df","mean_max_abs_lp"
"3n",1.5,"O0","oracle index + oracle nuisances",500,-0.00141121971196267,0.00277015781419307,0.0619426118093793,0.117268819118176,0.52821041667485,1,0,1,0.00865002944437079,0.00494449493783489,169.223462119408,14.5353781476182
"3n",1.5,"O1","oracle index + gam nuisances",500,-0.00252265160590537,0.00280613785732521,0.0627471500321479,0.11729415181947,0.534955486346186,0.998,0.00199799899899875,1,0.00870031646385049,0.00490228960614053,172.42156650857,14.5353781476182
"3n",1.5,"O2","gam full model (proper draws)",200,-0.0102890271815077,0.0143896415621215,0.203500262548397,0.139308699528539,1.46078646371046,0.945,0.0161206389451535,0.94,0.0218106457933579,0.00976442145081444,123.678550348652,19.9598925952087
"3n",1.5,"O3","tuned nnet + bootstrap draws",200,0.0102872929128908,0.0115544417523742,0.163404482318575,0.147389571149748,1.10865701720888,0.945,0.0161206389451535,0.94,0.0110798237251442,0.0103581400340662,100.975707624559,7.59225369033319
"3n",1.5,"O4","tuned PL backfit + bootstrap",200,-0.0289556454096109,0.0101815212530778,0.143988454416926,0.128836309163289,1.1176077252759,0.94,0.0167928556237467,0.945,0.00916447814165733,0.00721413862980655,119.193692566834,6.1033772600569
"3n",3,"O0","oracle index + oracle nuisances",500,-0.000286047138164935,0.00255308824004535,0.057088788572967,0.119716904897877,0.476864889061958,1,0,1,0.00863358830942865,0.00552749692269636,150.260884403593,15.5597209204653
"3n",3,"O1","oracle index + gam nuisances",500,-0.00250079783068236,0.00259300487068596,0.0579813515684186,0.119836187882485,0.4838384180351,1,0,1,0.00871305174942764,0.00547672492494936,152.781834796042,15.5597209204653
"3n",3,"O2","gam full model (proper draws)",200,0.00557090066113686,0.0142117018743155,0.200983815350601,0.156155856819533,1.28707190011371,0.86,0.0245356882927706,0.865,0.0130641542793744,0.0137295226393662,79.5652856473862,17.3761335355545
"3n",3,"O3","tuned nnet + bootstrap draws",200,0.067083885339327,0.0154241365302249,0.218130230689384,0.190527826779038,1.14487334672828,0.905,0.0207334271166153,0.9,0.0126767724574974,0.0231023361781857,56.2839200719637,9.0083274671454
"3n",3,"O4","tuned PL backfit + bootstrap",200,-0.0255126707601807,0.0134656368978213,0.190432863268905,0.152352545348975,1.24994868206963,0.87,0.0237802439011882,0.875,0.00949636615618792,0.0133611521278451,68.2315178884003,7.55680125302945
