"stage","theta","arm","amount","latent_rmse","bias","mc_se_bias","coverage","n_reps"
"3o",1.5,"DML-1",0,0,-0.00533990470424328,0.00665991657592808,0.93,200
"3o",1.5,"DML-1",0.1,0.163683332347915,-0.00633619031569244,0.00674585994291384,0.93,200
"3o",1.5,"DML-1",0.2,0.327366664695831,-0.00733247592714115,0.00687873249767819,0.925,200
"3o",1.5,"DML-1",0.4,0.654733329391662,-0.00932504715003923,0.00727407864181934,0.93,200
"3o",1.5,"DML-1",0.8,1.30946665878332,-0.0133101895958352,0.00848534623467342,0.95,200
"3o",1.5,"DML-2",0,0,-0.00533986551835763,0.00665991273655321,0.93,200
"3o",1.5,"DML-2",0.1,0.163683332347915,-0.00708222836327366,0.00673595737930527,0.93,200
"3o",1.5,"DML-2",0.2,0.327366664695831,-0.0105217259036285,0.00685812843302135,0.925,200
"3o",1.5,"DML-2",0.4,0.654733329391662,-0.0211710040639874,0.00721973335419334,0.935,200
"3o",1.5,"DML-2",0.8,1.30946665878332,-0.0507183979914312,0.00836471129979206,0.925,200
"3o",1.5,"SUDO-X",0,0,-0.00205975064442065,0.00440594134474484,1,200
"3o",1.5,"SUDO-X",0.1,0.163683332347915,0.00101711479886868,0.00437148054202711,1,200
"3o",1.5,"SUDO-X",0.2,0.327366664695831,0.00513515702963119,0.00439268327238397,1,200
"3o",1.5,"SUDO-X",0.4,0.654733329391662,0.0164743150617035,0.00459982972051993,1,200
"3o",1.5,"SUDO-X",0.8,1.30946665878332,0.0506085692501415,0.00556599860206972,0.995,200
"3o",1.5,"SUDO-D",-0.4,0.2,-0.261343257116737,0.00442981735638824,0.285,200
"3o",1.5,"SUDO-D",-0.2,0.1,-0.133869775308898,0.0044059468836918,0.935,200
"3o",1.5,"SUDO-D",0,0,-0.00205975064442065,0.00440594134474484,1,200
"3o",1.5,"SUDO-D",0.2,0.1,0.133863659379467,0.00443172239177488,0.955,200
"3o",1.5,"SUDO-D",0.4,0.2,0.273657266256945,0.00448463023086707,0.275,200
"3o",3,"DML-1",0,0,-0.00533990470424328,0.0066599165759281,0.93,200
"3o",3,"DML-1",0.1,0.163683332347915,-0.00633619031569221,0.00674585994291388,0.93,200
"3o",3,"DML-1",0.2,0.327366664695831,-0.00733247592714159,0.0068787324976782,0.925,200
"3o",3,"DML-1",0.4,0.654733329391662,-0.00932504715003946,0.00727407864181932,0.93,200
"3o",3,"DML-1",0.8,1.30946665878332,-0.0133101895958347,0.00848534623467339,0.95,200
"3o",3,"DML-2",0,0,-0.00533987780828937,0.00665991243599146,0.93,200
"3o",3,"DML-2",0.1,0.163683332347915,-0.00802000583619789,0.0067404427390918,0.93,200
"3o",3,"DML-2",0.2,0.327366664695831,-0.0140317016581575,0.00686799997653068,0.93,200
"3o",3,"DML-2",0.4,0.654733329391662,-0.0335318993639291,0.00723953327304687,0.925,200
"3o",3,"DML-2",0.8,1.30946665878332,-0.089575693074524,0.00839634691915053,0.845,200
"3o",3,"SUDO-X",0,0,-0.000635050623226885,0.00442095210623606,1,200
"3o",3,"SUDO-X",0.1,0.163683332347915,-0.0113885464897252,0.0043667768877683,1,200
"3o",3,"SUDO-X",0.2,0.327366664695831,-0.0208783523741976,0.00437199534349234,1,200
"3o",3,"SUDO-X",0.4,0.654733329391662,-0.0356074817630678,0.00455824726753064,0.995,200
"3o",3,"SUDO-X",0.8,1.30946665878332,-0.0463726765161265,0.00551313733551705,0.995,200
"3o",3,"SUDO-D",-0.4,0.2,-0.339622619396586,0.00442722699862237,0.065,200
"3o",3,"SUDO-D",-0.2,0.1,-0.171658912265975,0.00440538703725699,0.86,200
"3o",3,"SUDO-D",0,0,-0.000635050623226885,0.00442095210623606,1,200
"3o",3,"SUDO-D",0.2,0.1,0.173140285714088,0.00447508887465068,0.845,200
"3o",3,"SUDO-D",0.4,0.2,0.349376041423188,0.00456775124624666,0.06,200
