"degree","nk","penalty","bias_t1.5","mc_se_t1.5","bias_t3","mc_se_t3","worst_abs_bias"
2,21,3,-0.0134911390157095,0.0386270663622555,0.0118473555674616,0.0797545274280254,0.0134911390157095
1,21,3,-0.0266535552302007,0.0454020342537454,0.0280306856741266,0.08577847492045,0.0280306856741266
2,21,2,-0.00467250979893374,0.0395505449944157,0.0324499275417987,0.0770630915025025,0.0324499275417987
1,21,2,-0.0151296172762008,0.0440811959485068,0.0335076348033305,0.0887335169690127,0.0335076348033305
2,41,3,-0.00615271049675403,0.0378592599637116,0.0381215090496481,0.0859212894075341,0.0381215090496481
2,81,3,-0.00630334584980385,0.0425336395457492,0.0513567381939493,0.0892775491458458,0.0513567381939493
1,41,3,-0.0244557879791216,0.0451933399606633,0.0614688897203242,0.0859387884162704,0.0614688897203242
1,41,2,-0.00367034471469618,0.041981380843886,0.0674979275183385,0.0902238629710779,0.0674979275183385
1,81,3,0.00580471150843875,0.0405089935886902,0.0883761834019419,0.0892540232027104,0.0883761834019419
1,81,2,0.015126012035835,0.0462881928777363,0.127792550483059,0.0921118140709,0.127792550483059
2,41,2,0.00503131359999109,0.0382283314231902,0.143520198288373,0.12168160006021,0.143520198288373
2,81,2,0.0142951092946297,0.041510293835465,0.175235738320834,0.123142437518507,0.175235738320834
