"stage","design","theta0","n","n_reps","mean_est","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_cov","sd_over_mean_se","minutes"
7,"base",1,2000,200,1.01665186856507,0.0166518685650658,0.0120249275613733,0.170058156438481,0.170447829012595,0.13897010741701,0.94,0.0167928556237467,1.22370313730984,2.30589601596196
7,"base",2.5,2000,200,2.49998314957553,-1.68504244730805e-05,0.0132447650557466,0.187309263722822,0.18684040451396,0.150334930915393,0.855,0.0248972890090467,1.24594638506361,2.61154048442841
7,"contD",1,2000,200,0.998951156391252,-0.00104884360874846,0.00519521550123987,0.0734714422130436,0.073295038233675,0.0590781993681135,0.885,0.0225582579114612,1.24363035771023,2.48080681562424
7,"contD",2.5,2000,200,2.5093761545084,0.00937615450840346,0.00989866599491623,0.139988276994119,0.139952300376481,0.0827296542302869,0.79,0.0288010416478293,1.69211727398795,2.58512266874313
7,"contD_ord",1,2000,200,1.00683151304745,0.00683151304745366,0.0041320498739517,0.0584360097214454,0.0586886953895004,0.0702744360220217,0.975,0.0110397010829098,0.831540073877412,1.31121196746826
7,"contD_ord",2.5,2000,200,2.53730692808559,0.0373069280855871,0.00756773247665555,0.107023899048976,0.113086919119721,0.110234931788943,0.955,0.0146586152142691,0.970871005335092,1.32209348281225
7,"interact",1,2000,200,0.949733406128691,-0.0502665938713088,0.00842812854989594,0.119191737006867,0.129082792343843,0.124671035158895,0.94,0.0167928556237467,0.956049950615684,3.28894753456116
7,"interact",2.5,2000,200,2.35342463876212,-0.146575361237876,0.0119135853654877,0.168483540003624,0.223000238246298,0.138586751390669,0.75,0.0306186217847897,1.21572616655597,3.26237731774648
7,"p10",1,2000,200,1.0125027333247,0.0125027333247043,0.0130405952596088,0.184421866775571,0.184384614761781,0.14069603849392,0.935,0.0174320107847603,1.31078222777069,9.33647546768188
7,"p10",2.5,2000,200,2.53048163926739,0.0304816392673937,0.0133462900154193,0.188745043471706,0.19072414191808,0.153289916368576,0.87,0.0237802439011882,1.23129458181632,10.1074558655421
7,"weak_ovl",1,2000,200,1.01768667094829,0.0176866709482864,0.0123295327968616,0.174365924990455,0.174826418907501,0.172890369034155,0.97,0.0120623380818148,1.00853463362097,3.67815850178401
7,"weak_ovl",2.5,2000,200,2.50151547509024,0.00151547509024264,0.0190182150739558,0.268958176897167,0.268289219090141,0.201181665981745,0.85,0.0252487623459052,1.33689208499532,3.43166686693827
