"stage","design","estimator","n_reps","mean_est","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_cov","rel_var"
8,"D1_correct","clm_direct",200,1.01205336469289,0.0120533646928853,0.0060308938300613,0.0852897184770492,0.085925828468072,0.0963059167195487,0.975,0.0110397010829098,NA
8,"D1_correct","clm_spline",200,1.01377136247719,0.0137713624771933,0.00605732050671359,0.0856634481223503,0.0865516356689334,0.0965388515376332,0.97,0.0120623380818148,NA
8,"D1_correct","sudo",200,1.01099422726578,0.0109942272657793,0.00594530301759256,0.0840792815989709,0.0845863582346447,0.103406748932501,0.975,0.0110397010829098,NA
8,"D1_correct","sudo_spline",200,1.01544729223855,0.0154472922385485,0.00618573913244869,0.0874795617441092,0.0886173188029847,0.10409999955176,0.985,0.00859505671883555,NA
8,"D1_correct","sudo_rb",200,1.01194537268043,0.0119453726804299,0.00606490683556915,0.0857707350139118,0.0863859237282146,0.0781526311667075,0.915,0.019719913792915,NA
8,"D2_nonlinear","clm_direct",200,0.81596238180307,-0.18403761819693,0.00656464788158775,0.092838140663452,0.206023471166847,0.0908296789898686,0.475,0.0353111172295638,NA
8,"D2_nonlinear","clm_spline",200,0.993736548252134,-0.00626345174786624,0.00644036816894058,0.0910805601119174,0.0910682212187487,0.0974233201517918,0.955,0.0146586152142691,NA
8,"D2_nonlinear","sudo",200,0.815433335128577,-0.184566664871423,0.00544816701598151,0.0770487168407481,0.199929177522271,0.0930259364106486,0.485,0.0353394255754108,NA
8,"D2_nonlinear","sudo_spline",200,0.997051862638627,-0.00294813736137334,0.0066856782991398,0.0945497692430699,0.0943591653391429,0.104845165100398,0.96,0.013856406460551,NA
8,"D2_nonlinear","sudo_rb",200,0.815561307559561,-0.184438692440439,0.00550534853478751,0.0778573856348734,0.200122699623373,0.0677947198850281,0.225,0.0295275295275443,NA
