"theta0","lambda","n_pop","J","pseudo_intercept","pseudo_alpha","treatment_error","total_bias_pred","covariate_leak","treatment_component","first_order_leak","taylor_remainder","remainder_over_lambda_sq","weighted_bound","local_remainder_bound","local_bound","bound_over_abs_leak","local_bound_over_abs_leak","bound_pass","local_bound_pass"
1,-1.5,2000000,0.190048143977111,-0.170026731666478,0.918838584960195,-0.081161415039805,-0.0836347661422606,-0.0389738300073527,-0.0446609361349079,-0.0511433048810134,0.0121694748736607,0.00540865549940476,0.231054884050714,0.0592593535574717,0.110402658438485,5.92846235556331,2.83273823531475,TRUE,TRUE
1,-1,2000000,0.190048143977111,-0.0893262569463295,0.963741470135729,-0.0362585298642709,-0.0359734239996545,-0.0152206316314621,-0.0207527923681924,-0.0213857872515849,0.00616515562012283,0.00616515562012283,0.155793845476803,0.0287829894845515,0.0501687767361364,10.2357017270404,3.29610347000542,TRUE,TRUE
1,-0.5,2000000,0.190048143977111,-0.0247032104481856,0.991735406819345,-0.00826459318065498,-0.00787547998307428,-0.00301295114800126,-0.00486252883507302,-0.00369038813368933,0.000677436985688069,0.00270974794275228,0.0782519633746877,0.00716451160587739,0.0108548997395667,25.9718659649024,3.60274667804278,TRUE,TRUE
1,0.5,2000000,0.190048143977111,-0.0254797200003146,0.992023999879121,-0.00797600012087862,-0.0078143922979085,-0.00312224123370634,-0.00469215106420216,-0.00380898311787887,0.000686741884172534,0.00274696753669014,0.078245398501643,0.00717761875214552,0.0109866018700244,25.0606511940654,3.51881903019468,TRUE,TRUE
1,1,2000000,0.190048143977111,-0.0905637133996486,0.9640512526695,-0.0359487473305001,-0.0360172951832412,-0.0154460284412299,-0.0205712667420113,-0.0215582535372137,0.00611222509598374,0.00611222509598374,0.155802289572126,0.028749034813239,0.0503072883504527,10.0868835095657,3.2569724017967,TRUE,TRUE
1,1.5,2000000,0.190048143977111,-0.171545703866747,0.919116645243303,-0.0808833547566973,-0.0836574826374028,-0.0391595969191195,-0.0444978857182833,-0.0512138904216296,0.0120542935025101,0.00535746377889338,0.23112618130141,0.0592117569381261,0.110425647359756,5.90215935518385,2.81988723193013,TRUE,TRUE
2.5,-1.5,2000000,0.190048143977111,-0.170026832618411,2.28321715359545,-0.216782846404548,-0.209778674401768,-0.0439875730934909,-0.165791101308277,-0.0644701659880946,0.0204825928946037,0.00910337461982387,0.536099088631106,0.11743025446373,0.181900420451825,12.1875123115268,4.13526838739693,TRUE,TRUE
2.5,-1,2000000,0.190048143977111,-0.0893263741692056,2.41374384258895,-0.0862561574110536,-0.0801533476286292,-0.0121210744659268,-0.0680322731627023,-0.0160189436473306,0.0038978691814038,0.0038978691814038,0.360614657270616,0.0535537747406192,0.0695727183879498,29.751047094408,5.73981445155901,TRUE,TRUE
2.5,-0.5,2000000,0.190048143977111,-0.0247031526416585,2.48246429885609,-0.0175357011439061,-0.01565337642298,-0.00156913055360494,-0.014084245869375,0.000414431309390205,-0.00198356186299515,0.00793424745198059,0.181284421661679,0.011806428006557,0.0122208593159472,115.531764546419,7.78829988866817,TRUE,TRUE
2.5,0.5,2000000,0.190048143977111,-0.0254797200003162,2.48264780536016,-0.0173521946398361,-0.0156983705775165,-0.00176291244156105,-0.0139354581359555,0.000208081421489359,-0.00197099386305041,0.00788397545220163,0.181266308229578,0.0118118226661689,0.0120199040876582,102.822070998074,6.81820821289042,TRUE,TRUE
2.5,1,2000000,0.190048143977111,-0.0905637143986724,2.41379569043665,-0.086204309563346,-0.0805291982321496,-0.0125517210195268,-0.0679774772126228,-0.0164636804822009,0.00391195946267415,0.00391195946267415,0.360524302595244,0.0536505904795162,0.0701142709617171,28.7230971780184,5.58602846993172,TRUE,TRUE
2.5,1.5,2000000,0.190048143977111,-0.171545724005051,2.28345764909106,-0.216542350908936,-0.21001815442949,-0.0444537165553049,-0.165564437874185,-0.064689778031966,0.0202360614766611,0.00899380510073827,0.536021154535605,0.117313405240511,0.182003183272477,12.0579604152724,4.09421747776807,TRUE,TRUE
