"n","theta","learner","n_reps","mean_exact_shift","mean_linear_shift","mean_abs_projected_remainder","mean_abs_linear_shift","mean_abs_point_remainder","mean_delta_sq","taylor_ratio","mean_index_rmse","max_abs_index","all_finite"
1000,1.5,"pl_gam",50,0.0122045845070172,0.010443082444676,0.00385335468995497,0.0970321222496274,0.0121947392197113,0.49608886387904,0.0245817636871701,0.67860409694641,11.5129154649248,TRUE
1000,1.5,"pl_mars",50,-0.036642506423807,-0.0419075671765392,0.00832448236134941,0.10528733520719,0.0299656399208515,1.09650281462546,0.0273283748305627,1.03767191707506,11.5129154649248,TRUE
1000,1.5,"pl_backfit",50,-0.0386830031324876,-0.0343117237918109,0.00617085918532122,0.0961206794565333,0.0264150406332952,1.13963356753188,0.0231785385985976,1.0619485287638,6.49871686652954,TRUE
1000,3,"pl_gam",50,0.0526255114108706,0.0562386547259184,0.00690050405448348,0.174656348518309,0.0140994701461616,0.691386957802032,0.0203930230199667,0.785107904001155,11.5129154649248,TRUE
1000,3,"pl_mars",50,-0.0151384376336427,-0.017413037702145,0.00778143473539734,0.17110022072266,0.0331275433771272,1.3466961954081,0.0245991215317038,1.15042336386974,11.5129154649248,TRUE
1000,3,"pl_backfit",50,-0.0250228665460891,-0.00874913823694901,0.0162878214101429,0.172833270845468,0.0261104122232504,1.35868684421225,0.0192173879761005,1.15941995069056,9.21065058442358,TRUE
2000,1.5,"pl_gam",50,0.00599797496158354,0.00567675534321195,0.00150903754061972,0.063077188551748,0.00593203757821353,0.264454109486109,0.0224312550473908,0.505311142079081,11.5129154649248,TRUE
2000,1.5,"pl_mars",50,-0.00929665040537943,-0.00912840849012783,0.00441497754160938,0.0707813349270078,0.0194955876810796,0.865277607018588,0.0225310207070466,0.924397632017417,11.5129154649248,TRUE
2000,1.5,"pl_backfit",50,-0.00698537551379105,-0.00377357891520622,0.00357449288979516,0.0694246027049301,0.0152554005586799,0.798429208879647,0.0191067666225366,0.890037218851507,7.06067816132794,TRUE
2000,3,"pl_gam",50,0.0575420357539103,0.0588918916637802,0.00223284815792898,0.137677285705763,0.00613383154660875,0.3157882990868,0.0194238721458225,0.550504648974522,11.5129154649248,TRUE
2000,3,"pl_mars",50,0.0274259995894049,0.0301678690181357,0.00643752925317132,0.132117290327973,0.0207108270783095,0.961391436552289,0.0215425541469165,0.974175000579003,11.5129154649248,TRUE
2000,3,"pl_backfit",50,0.033936529989616,0.0446392730807619,0.0107027430911459,0.13806580218033,0.0149842945010587,0.927980161442727,0.0161472142656182,0.959026524009569,8.57249564321918,TRUE
