"link","design","e","c_ord","err_index","err_thresh","err_identity"
"logit","binary  J=2",-1.5,0.524948436307713,4.64387417409284e-11,4.63286076168856e-11,0
"logit","binary  J=2",-0.5,0.337152681420821,6.91067203462126e-11,6.92168544702554e-11,0
"logit","binary  J=2",0,0.306852819440055,9.38538691208635e-11,9.38538136097122e-11,0
"logit","binary  J=2",0.7,0.364545391632258,5.00334218500598e-11,5.01435559741026e-11,0
"logit","binary  J=2",2,0.634666144912792,8.30271407181726e-11,8.29169510829786e-11,0
"logit","ordinal J=3",-1.5,0.388787330345309,1.32123201268541e-11,1.64070423913643e-11,0
"logit","ordinal J=3",-0.5,0.195589209179845,5.99431615455615e-11,1.03840047671611e-10,0
"logit","ordinal J=3",0,0.157274571255833,7.2246680860033e-11,9.79914482890365e-11,0
"logit","ordinal J=3",0.7,0.184217248542634,6.67630395412289e-11,1.07663322701512e-10,0
"logit","ordinal J=3",2,0.437831308102558,3.37105898751133e-11,1.34958710873434e-11,0
"logit","ordinal J=4",-1.5,0.267814376592067,2.34271491095228e-11,6.93474722091025e-11,0
"logit","ordinal J=4",-0.5,0.116206695356146,4.79851713919288e-11,9.59743950978975e-11,0
"logit","ordinal J=4",0,0.0903466603732711,4.14698692052795e-11,1.04148911717061e-10,0
"logit","ordinal J=4",0.7,0.10727334233985,4.86196638505021e-11,9.31325017106133e-11,0
"logit","ordinal J=4",2,0.311493247068689,1.17745813099646e-11,4.67343941323861e-11,0
"probit","binary  J=2",-1.5,0.730931479824185,1.81980430724593e-10,1.81870241089399e-10,0
"probit","binary  J=2",-0.5,0.419008347397602,1.55438883986392e-10,1.55549018110435e-10,0
"probit","binary  J=2",0,0.363380227632419,1.90698512536613e-10,1.90698457025462e-10,0
"probit","binary  J=2",0.7,0.468411381677435,1.15219722651716e-10,1.15329856775759e-10,0
"probit","binary  J=2",2,0.868884914134958,3.03322034156395e-10,3.05432346081602e-10,0
"probit","ordinal J=3",-1.5,0.547038782242812,9.02167229810402e-13,5.60735347043817e-11,0
"probit","ordinal J=3",-0.5,0.249864487342573,9.45613587433058e-11,2.40190534128715e-10,0
"probit","ordinal J=3",0,0.194029372133432,6.83211542895634e-11,1.99737559825053e-10,0
"probit","ordinal J=3",0.7,0.233088236125482,8.78925821012899e-11,2.37444397477304e-10,0
"probit","ordinal J=3",2,0.621230784093984,7.03318514538864e-11,4.01180789977307e-11,0
"probit","ordinal J=4",-1.5,0.367427008933707,9.77670167046085e-11,2.03482120042509e-10,0
"probit","ordinal J=4",-0.5,0.157078123286426,4.28425073195626e-11,2.10223394248032e-10,0
"probit","ordinal J=4",0,0.125780620262493,1.67150182583953e-11,2.74468725525168e-10,0
"probit","ordinal J=4",0.7,0.14360068111853,3.65126817669648e-11,2.37223185539648e-10,0
"probit","ordinal J=4",2,0.432059389570469,7.51647633023822e-11,1.60607915855593e-10,0
"cloglog","binary  J=2",-1.5,0.558376527694208,4.29802859969186e-11,4.28700963617246e-11,0
"cloglog","binary  J=2",-0.5,0.345724515342183,1.2092493673066e-10,1.21035070854703e-10,0
"cloglog","binary  J=2",0,0.317013654112156,2.845804703e-10,2.84690604424043e-10,0
"cloglog","binary  J=2",0.7,0.492279787178459,3.24421156605581e-10,3.23421067704999e-10,0
"cloglog","binary  J=2",2,0.987673241021333,5.61214186234338e-10,5.61104064253359e-10,0
"cloglog","ordinal J=3",-1.5,0.421119009827664,2.29817276320432e-11,1.04780073506561e-11,0
"cloglog","ordinal J=3",-0.5,0.194679262580255,8.42219627372742e-11,2.00295224850322e-10,0
"cloglog","ordinal J=3",0,0.15582421269237,1.45071288315535e-10,2.89006985010332e-10,0
"cloglog","ordinal J=3",0.7,0.227836513835303,1.99826488689325e-10,3.02389668860314e-10,0
"cloglog","ordinal J=3",2,0.74862446969612,4.40509850818671e-10,4.33503566377169e-10,0
"cloglog","ordinal J=4",-1.5,0.287030520871163,1.40263356485093e-11,8.55849280334553e-11,0
"cloglog","ordinal J=4",-0.5,0.118027833224911,8.4142692813316e-11,2.72810662949041e-10,0
"cloglog","ordinal J=4",0,0.108966067228785,6.71493971537984e-11,1.96577198963155e-10,0
"cloglog","ordinal J=4",0.7,0.141663659827311,6.4344418682083e-11,2.85162005120299e-10,0
"cloglog","ordinal J=4",2,0.483705635774773,2.59286592196872e-10,3.51877194049166e-10,0
"cloglog_min","binary  J=2",-1.5,0.883859127821046,9.50989287318293e-10,9.50879125438675e-10,0
"cloglog_min","binary  J=2",-0.5,0.413059825759909,3.94340227138912e-10,3.94450361262955e-10,0
"cloglog_min","binary  J=2",0,0.317013654112156,2.84025358787687e-10,2.8413549291173e-10,0
"cloglog_min","binary  J=2",0.7,0.379310746100212,7.17120807181004e-11,7.18222148421432e-11,0
"cloglog_min","binary  J=2",2,0.66749963691156,6.99091895484116e-11,7.0909278448994e-11,0
"cloglog_min","ordinal J=3",-1.5,0.642208243942164,5.8217874965294e-11,4.20089517642538e-11,0
"cloglog_min","ordinal J=3",-0.5,0.249338327054318,2.06277772640817e-10,3.31832783473374e-10,0
"cloglog_min","ordinal J=3",0,0.169060045119145,1.73345560128269e-10,2.5885207866061e-10,0
"cloglog_min","ordinal J=3",0.7,0.181250275295707,9.76889680259774e-11,2.23329410520279e-10,0
"cloglog_min","ordinal J=3",2,0.473768326652568,3.71808139831842e-11,1.17744147765109e-11,0
"cloglog_min","ordinal J=4",-1.5,0.397649895478374,2.97468272236756e-10,4.24981050350937e-10,0
"cloglog_min","ordinal J=4",-0.5,0.153842545459265,1.13448139771322e-10,2.91590473988634e-10,0
"cloglog_min","ordinal J=4",0,0.114525692678744,6.66494637258097e-11,2.89166579570121e-10,0
