truth,estimator,assumption,n_valid,failure_rate,mean_estimate,bias_vs_latent_theta,mc_se_bias
cloglog,Raw-label DML PLR,continuous-outcome PLR,300,0.0,0.20425167913885078,-0.5957483208611493,0.0006905869193870849
cloglog,Partially logistic DML,logit,300,0.0,1.094547315525158,0.2945473155251579,0.006473511767290656
cloglog,SUDO (logit),logit,300,0.0,1.1849176360071154,0.38491763600711537,0.0048519608572628985
cloglog,SUDO (cloglog),cloglog,300,0.0,0.8041080125912842,0.004108012591284127,0.0033032261171195886
cloglog,Correct-link GLM,true link,300,0.0,0.8040826361365006,0.004082636136500506,0.0032529261867717462
logit,Raw-label DML PLR,continuous-outcome PLR,300,0.0,0.16194758396787845,-0.6380524160321216,0.0007989703176149006
logit,Partially logistic DML,logit,300,0.0,0.8052703537166485,0.005270353716648413,0.005214085987472287
logit,SUDO (logit),logit,300,0.0,0.801105354745604,0.0011053547456039148,0.00437097369897533
logit,SUDO (cloglog),cloglog,300,0.0,0.5464846235920024,-0.2535153764079976,0.0029591834696975857
logit,Correct-link GLM,true link,300,0.0,0.8008423794423664,0.0008423794423663145,0.0043408819404641705
